"checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"214","> 200 DM",30,"poor","business",1908,"< 100 DM","> 7 years",4,4,66,"none","own",1,"management",1,"yes","yes"
"215","unknown",36,"critical","furniture/appliances",3342,"unknown","> 7 years",4,2,51,"none","own",1,"skilled",1,"yes","no"
"216","1 - 200 DM",6,"critical","education",932,"unknown","4 - 7 years",1,3,39,"none","own",2,"unskilled",1,"no","no"
"217","< 0 DM",18,"perfect","business",3104,"< 100 DM","4 - 7 years",3,1,31,"bank","own",1,"skilled",1,"yes","no"
"218","> 200 DM",36,"good","furniture/appliances",3913,"< 100 DM","1 - 4 years",2,2,23,"none","own",1,"skilled",1,"yes","no"
"219","< 0 DM",24,"good","furniture/appliances",3021,"< 100 DM","1 - 4 years",2,2,24,"none","rent",1,"unskilled",1,"no","no"
"220","unknown",10,"good","car",1364,"< 100 DM","1 - 4 years",2,4,64,"none","own",1,"skilled",1,"yes","no"
"221","1 - 200 DM",12,"good","furniture/appliances",625,"< 100 DM","< 1 year",4,1,26,"bank","own",1,"unskilled",1,"no","no"
"222","< 0 DM",12,"good","education",1200,"unknown","1 - 4 years",4,4,23,"bank","rent",1,"skilled",1,"yes","no"
"223","unknown",12,"good","furniture/appliances",707,"< 100 DM","1 - 4 years",4,2,30,"bank","own",2,"skilled",1,"no","no"
"224","unknown",24,"poor","business",2978,"unknown","1 - 4 years",4,4,32,"none","own",2,"skilled",2,"yes","no"
"225","unknown",15,"good","car",4657,"< 100 DM","1 - 4 years",3,2,30,"none","own",1,"skilled",1,"yes","no"
"226","unknown",36,"perfect","renovations",2613,"< 100 DM","1 - 4 years",4,2,27,"none","own",2,"skilled",1,"no","no"
"227","1 - 200 DM",48,"good","furniture/appliances",10961,"> 1000 DM","4 - 7 years",1,2,27,"bank","own",2,"skilled",1,"yes","yes"
"228","< 0 DM",12,"good","furniture/appliances",7865,"< 100 DM","> 7 years",4,4,53,"none","other",1,"management",1,"yes","yes"
"229","unknown",9,"good","furniture/appliances",1478,"< 100 DM","4 - 7 years",4,2,22,"none","own",1,"skilled",1,"no","yes"
"230","< 0 DM",24,"good","furniture/appliances",3149,"< 100 DM","< 1 year",4,1,22,"bank","other",1,"skilled",1,"no","no"
"231","> 200 DM",36,"good","furniture/appliances",4210,"< 100 DM","1 - 4 years",4,2,26,"none","own",1,"skilled",1,"no","yes"
"232","unknown",9,"good","car",2507,"500 - 1000 DM","> 7 years",2,4,51,"none","other",1,"unskilled",1,"no","no"
"233","unknown",12,"good","furniture/appliances",2141,"100 - 500 DM","4 - 7 years",3,1,35,"none","own",1,"skilled",1,"no","no"
"234","1 - 200 DM",18,"good","furniture/appliances",866,"< 100 DM","1 - 4 years",4,2,25,"none","own",1,"unskilled",1,"no","no"
"235","unknown",4,"critical","furniture/appliances",1544,"< 100 DM","4 - 7 years",2,1,42,"none","own",3,"unskilled",2,"no","no"
"236","< 0 DM",24,"good","furniture/appliances",1823,"< 100 DM","unemployed",4,2,30,"store","own",1,"management",2,"no","yes"
"237","1 - 200 DM",6,"good","car",14555,"unknown","unemployed",1,2,23,"none","own",1,"unemployed",1,"yes","yes"
"238","1 - 200 DM",21,"good","business",2767,"100 - 500 DM","> 7 years",4,2,61,"bank","rent",2,"unskilled",1,"no","yes"
"239","unknown",12,"critical","furniture/appliances",1291,"< 100 DM","1 - 4 years",4,2,35,"none","own",2,"skilled",1,"no","no"
"240","< 0 DM",30,"good","furniture/appliances",2522,"< 100 DM","> 7 years",1,3,39,"none","own",1,"skilled",2,"no","no"
"241","< 0 DM",24,"good","car",915,"unknown","> 7 years",4,2,29,"bank","own",1,"skilled",1,"no","yes"
"242","unknown",6,"good","furniture/appliances",1595,"< 100 DM","4 - 7 years",3,2,51,"none","own",1,"skilled",2,"no","no"
"243","< 0 DM",48,"perfect","car",4605,"< 100 DM","> 7 years",3,4,24,"none","other",2,"skilled",2,"no","yes"
"244","unknown",12,"critical","business",1185,"< 100 DM","1 - 4 years",3,2,27,"none","own",2,"skilled",1,"no","no"
"245","unknown",12,"very good","education",3447,"500 - 1000 DM","1 - 4 years",4,3,35,"none","own",1,"unskilled",2,"no","no"
"246","unknown",24,"good","business",1258,"< 100 DM","4 - 7 years",4,1,25,"none","own",1,"skilled",1,"yes","no"
"247","unknown",12,"critical","furniture/appliances",717,"< 100 DM","> 7 years",4,4,52,"none","own",3,"skilled",1,"no","no"
"248","unknown",6,"perfect","car",1204,"100 - 500 DM","1 - 4 years",4,1,35,"bank","rent",1,"skilled",1,"no","no"
"249","> 200 DM",24,"good","furniture/appliances",1925,"< 100 DM","1 - 4 years",2,2,26,"none","own",1,"skilled",1,"no","no"
"250","unknown",18,"good","furniture/appliances",433,"< 100 DM","unemployed",3,4,22,"none","rent",1,"skilled",1,"no","yes"
"251","< 0 DM",6,"critical","car",666,"> 1000 DM","4 - 7 years",3,4,39,"none","own",2,"unskilled",1,"yes","no"
"252","> 200 DM",12,"good","furniture/appliances",2251,"< 100 DM","1 - 4 years",1,2,46,"none","own",1,"unskilled",1,"no","no"
"253","1 - 200 DM",30,"good","car",2150,"< 100 DM","1 - 4 years",4,2,24,"bank","own",1,"skilled",1,"no","yes"
"254","unknown",24,"poor","furniture/appliances",4151,"100 - 500 DM","1 - 4 years",2,3,35,"none","own",2,"skilled",1,"no","no"
"255","1 - 200 DM",9,"good","furniture/appliances",2030,"unknown","4 - 7 years",2,1,24,"none","own",1,"skilled",1,"yes","no"
"256","1 - 200 DM",60,"poor","furniture/appliances",7418,"unknown","1 - 4 years",1,1,27,"none","own",1,"unskilled",1,"no","no"
"257","unknown",24,"critical","furniture/appliances",2684,"< 100 DM","1 - 4 years",4,2,35,"none","own",2,"unskilled",1,"no","no"
"258","< 0 DM",12,"very good","furniture/appliances",2149,"< 100 DM","1 - 4 years",4,1,29,"none","other",1,"skilled",1,"no","yes"
"259","unknown",15,"good","car",3812,"100 - 500 DM","< 1 year",1,4,23,"none","own",1,"skilled",1,"yes","no"
"260","unknown",11,"critical","furniture/appliances",1154,"100 - 500 DM","unemployed",4,4,57,"none","own",3,"unskilled",1,"no","no"
"261","< 0 DM",12,"good","furniture/appliances",1657,"< 100 DM","1 - 4 years",2,2,27,"none","own",1,"skilled",1,"no","no"
"262","< 0 DM",24,"good","furniture/appliances",1603,"< 100 DM","> 7 years",4,4,55,"none","own",1,"skilled",1,"no","no"
"263","< 0 DM",18,"critical","car",5302,"< 100 DM","> 7 years",2,4,36,"none","other",3,"management",1,"yes","no"
"264","unknown",12,"critical","education",2748,"< 100 DM","> 7 years",2,4,57,"bank","other",3,"unskilled",1,"no","no"
"265","unknown",10,"critical","car",1231,"< 100 DM","> 7 years",3,4,32,"none","own",2,"unskilled",2,"no","no"
"266","1 - 200 DM",15,"good","furniture/appliances",802,"< 100 DM","> 7 years",4,3,37,"none","own",1,"skilled",2,"no","yes"
"267","unknown",36,"critical","business",6304,"unknown","> 7 years",4,4,36,"none","own",2,"skilled",1,"no","no"
"268","unknown",24,"good","furniture/appliances",1533,"< 100 DM","< 1 year",4,3,38,"store","own",1,"skilled",1,"yes","no"
"269","< 0 DM",14,"good","car",8978,"< 100 DM","> 7 years",1,4,45,"none","own",1,"management",1,"yes","yes"
"270","unknown",24,"good","furniture/appliances",999,"unknown","> 7 years",4,2,25,"none","own",2,"skilled",1,"no","no"
"271","unknown",18,"good","car",2662,"unknown","4 - 7 years",4,3,32,"none","own",1,"skilled",1,"no","no"
"272","unknown",12,"critical","furniture/appliances",1402,"500 - 1000 DM","4 - 7 years",3,4,37,"none","rent",1,"skilled",1,"yes","no"
"273","1 - 200 DM",48,"very good","car",12169,"unknown","unemployed",4,4,36,"none","other",1,"management",1,"yes","no"
"274","1 - 200 DM",48,"good","furniture/appliances",3060,"< 100 DM","4 - 7 years",4,4,28,"none","own",2,"skilled",1,"no","yes"
"275","< 0 DM",30,"good","renovations",11998,"< 100 DM","< 1 year",1,1,34,"none","own",1,"unskilled",1,"yes","yes"
"276","unknown",9,"good","furniture/appliances",2697,"< 100 DM","1 - 4 years",1,2,32,"none","own",1,"skilled",2,"no","no"
"277","unknown",18,"critical","furniture/appliances",2404,"< 100 DM","1 - 4 years",2,2,26,"none","own",2,"skilled",1,"no","no"
"278","< 0 DM",12,"good","furniture/appliances",1262,"unknown","> 7 years",2,4,49,"none","own",1,"unskilled",1,"yes","no"
"279","unknown",6,"good","furniture/appliances",4611,"< 100 DM","< 1 year",1,4,32,"none","own",1,"skilled",1,"no","yes"
"280","unknown",24,"good","furniture/appliances",1901,"100 - 500 DM","1 - 4 years",4,4,29,"none","rent",1,"management",1,"yes","no"
"281","unknown",15,"critical","car",3368,"> 1000 DM","> 7 years",3,4,23,"none","rent",2,"skilled",1,"yes","no"
"282","unknown",12,"good","furniture/appliances",1574,"< 100 DM","1 - 4 years",4,2,50,"none","own",1,"skilled",1,"no","no"
"283","> 200 DM",18,"very good","furniture/appliances",1445,"unknown","4 - 7 years",4,4,49,"bank","own",1,"unskilled",1,"no","no"
"284","unknown",15,"critical","furniture/appliances",1520,"unknown","> 7 years",4,4,63,"none","own",1,"skilled",1,"no","no"
"285","1 - 200 DM",24,"critical","car",3878,"100 - 500 DM","< 1 year",4,2,37,"none","own",1,"skilled",1,"yes","no"
"286","< 0 DM",47,"good","car",10722,"< 100 DM","< 1 year",1,1,35,"none","own",1,"unskilled",1,"yes","no"
"287","< 0 DM",48,"good","car",4788,"< 100 DM","4 - 7 years",4,3,26,"none","own",1,"skilled",2,"no","no"
"288","1 - 200 DM",48,"poor","car",7582,"100 - 500 DM","unemployed",2,4,31,"none","other",1,"management",1,"yes","no"
"289","1 - 200 DM",12,"good","furniture/appliances",1092,"< 100 DM","1 - 4 years",4,4,49,"none","own",2,"skilled",1,"yes","no"
"290","< 0 DM",24,"poor","furniture/appliances",1024,"< 100 DM","< 1 year",4,4,48,"store","own",1,"skilled",1,"no","yes"
"291","unknown",12,"good","business",1076,"< 100 DM","1 - 4 years",2,2,26,"none","own",1,"skilled",1,"yes","no"
"292","1 - 200 DM",36,"good","car",9398,"< 100 DM","< 1 year",1,4,28,"none","rent",1,"management",1,"yes","yes"
"293","< 0 DM",24,"critical","car",6419,"< 100 DM","> 7 years",2,4,44,"none","other",2,"management",2,"yes","no"
"294","> 200 DM",42,"critical","car",4796,"< 100 DM","> 7 years",4,4,56,"none","other",1,"skilled",1,"no","no"
"295","unknown",48,"critical","business",7629,"unknown","> 7 years",4,2,46,"bank","own",2,"management",2,"no","no"
"296","1 - 200 DM",48,"good","furniture/appliances",9960,"< 100 DM","< 1 year",1,2,26,"none","own",1,"skilled",1,"yes","yes"
"297","unknown",12,"good","car",4675,"unknown","< 1 year",1,4,20,"none","rent",1,"skilled",1,"no","no"
"298","unknown",10,"good","car",1287,"unknown","> 7 years",4,2,45,"none","own",1,"unskilled",1,"no","no"
"299","unknown",18,"good","furniture/appliances",2515,"< 100 DM","1 - 4 years",3,4,43,"none","own",1,"skilled",1,"yes","no"
"300","1 - 200 DM",21,"critical","furniture/appliances",2745,"> 1000 DM","4 - 7 years",3,2,32,"none","own",2,"skilled",1,"yes","no"
"301","unknown",6,"good","car",672,"< 100 DM","unemployed",1,4,54,"none","own",1,"unemployed",1,"yes","no"
"302","1 - 200 DM",36,"perfect","furniture/appliances",3804,"< 100 DM","1 - 4 years",4,1,42,"none","own",1,"skilled",1,"yes","yes"
"303","> 200 DM",24,"critical","car",1344,"unknown","4 - 7 years",4,2,37,"bank","own",2,"unskilled",2,"no","yes"
"304","< 0 DM",10,"critical","car",1038,"< 100 DM","4 - 7 years",4,3,49,"none","own",2,"skilled",1,"yes","no"
"305","unknown",48,"critical","car",10127,"500 - 1000 DM","1 - 4 years",2,2,44,"bank","other",1,"skilled",1,"no","yes"
"306","unknown",6,"good","furniture/appliances",1543,"> 1000 DM","1 - 4 years",4,2,33,"none","own",1,"skilled",1,"no","no"
"307","unknown",30,"good","car",4811,"unknown","4 - 7 years",2,4,24,"store","rent",1,"unskilled",1,"no","no"
"308","< 0 DM",12,"good","furniture/appliances",727,"100 - 500 DM","< 1 year",4,3,33,"none","own",1,"unskilled",1,"yes","yes"
"309","1 - 200 DM",8,"good","furniture/appliances",1237,"< 100 DM","1 - 4 years",3,4,24,"none","own",1,"skilled",1,"no","yes"
"310","1 - 200 DM",9,"good","car",276,"< 100 DM","1 - 4 years",4,4,22,"none","rent",1,"unskilled",1,"no","no"
"311","1 - 200 DM",48,"good","car",5381,"unknown","unemployed",3,4,40,"bank","other",1,"unemployed",1,"yes","no"
"312","unknown",24,"good","furniture/appliances",5511,"100 - 500 DM","1 - 4 years",4,1,25,"store","own",1,"skilled",1,"no","no"
"313","> 200 DM",24,"good","furniture/appliances",3749,"< 100 DM","< 1 year",2,4,26,"none","own",1,"skilled",1,"no","no"
"314","1 - 200 DM",12,"good","car",685,"< 100 DM","4 - 7 years",2,3,25,"bank","own",1,"unskilled",1,"no","yes"
"315","> 200 DM",4,"good","car",1494,"unknown","< 1 year",1,2,29,"none","own",1,"unskilled",2,"no","no"
"316","< 0 DM",36,"very good","furniture/appliances",2746,"< 100 DM","> 7 years",4,4,31,"bank","own",1,"skilled",1,"no","yes"
"317","< 0 DM",12,"good","furniture/appliances",708,"< 100 DM","1 - 4 years",2,3,38,"none","own",1,"unskilled",2,"no","no"
"318","1 - 200 DM",24,"good","furniture/appliances",4351,"unknown","1 - 4 years",1,4,48,"none","own",1,"unskilled",1,"yes","no"
"319","unknown",12,"critical","education",701,"< 100 DM","1 - 4 years",4,2,32,"none","own",2,"skilled",1,"no","no"
"320","< 0 DM",15,"poor","furniture/appliances",3643,"< 100 DM","> 7 years",1,4,27,"none","own",2,"unskilled",1,"no","no"
"321","1 - 200 DM",30,"critical","car",4249,"< 100 DM","unemployed",4,2,28,"none","own",2,"management",1,"no","yes"
"322","< 0 DM",24,"good","furniture/appliances",1938,"< 100 DM","< 1 year",4,3,32,"none","own",1,"skilled",1,"no","yes"
"323","< 0 DM",24,"good","car",2910,"< 100 DM","4 - 7 years",2,1,34,"none","other",1,"management",1,"yes","no"
"324","< 0 DM",18,"good","furniture/appliances",2659,"> 1000 DM","1 - 4 years",4,2,28,"none","own",1,"skilled",1,"no","no"
"325","unknown",18,"critical","car",1028,"< 100 DM","1 - 4 years",4,3,36,"none","own",2,"skilled",1,"no","no"
"326","< 0 DM",8,"critical","car",3398,"< 100 DM","4 - 7 years",1,4,39,"none","own",2,"unskilled",1,"no","no"
"327","unknown",12,"critical","furniture/appliances",5801,"unknown","> 7 years",2,4,49,"none","rent",1,"skilled",1,"yes","no"
"328","unknown",24,"good","car",1525,"> 1000 DM","4 - 7 years",4,3,34,"none","own",1,"skilled",2,"yes","no"
"329","> 200 DM",36,"good","furniture/appliances",4473,"< 100 DM","> 7 years",4,2,31,"none","own",1,"skilled",1,"no","no"
"330","1 - 200 DM",6,"good","furniture/appliances",1068,"< 100 DM","> 7 years",4,4,28,"none","own",1,"skilled",2,"no","no"
"331","< 0 DM",24,"critical","car",6615,"< 100 DM","unemployed",2,4,75,"none","other",2,"management",1,"yes","no"
"332","unknown",18,"critical","education",1864,"100 - 500 DM","1 - 4 years",4,2,30,"none","own",2,"skilled",1,"no","yes"
"333","1 - 200 DM",60,"good","car",7408,"100 - 500 DM","< 1 year",4,2,24,"none","own",1,"management",1,"no","yes"
"334","unknown",48,"critical","car",11590,"100 - 500 DM","1 - 4 years",2,4,24,"bank","rent",2,"unskilled",1,"no","yes"
"335","< 0 DM",24,"perfect","furniture/appliances",4110,"< 100 DM","> 7 years",3,4,23,"bank","rent",2,"skilled",2,"no","yes"
"336","< 0 DM",6,"critical","furniture/appliances",3384,"< 100 DM","1 - 4 years",1,4,44,"none","rent",1,"management",1,"yes","yes"
"337","1 - 200 DM",13,"good","furniture/appliances",2101,"< 100 DM","< 1 year",2,4,23,"none","own",1,"unskilled",1,"no","no"
"338","< 0 DM",15,"good","furniture/appliances",1275,"unknown","1 - 4 years",4,2,24,"none","rent",1,"skilled",1,"no","yes"
"339","< 0 DM",24,"good","furniture/appliances",4169,"< 100 DM","1 - 4 years",4,4,28,"none","own",1,"skilled",1,"no","no"
"340","1 - 200 DM",10,"good","furniture/appliances",1521,"< 100 DM","1 - 4 years",4,2,31,"none","own",1,"unskilled",1,"no","no"
"341","1 - 200 DM",24,"critical","education",5743,"< 100 DM","< 1 year",2,4,24,"none","other",2,"skilled",1,"yes","no"
"342","< 0 DM",21,"good","furniture/appliances",3599,"< 100 DM","4 - 7 years",1,4,26,"none","rent",1,"unskilled",1,"no","no"
"343","1 - 200 DM",18,"good","furniture/appliances",3213,"500 - 1000 DM","< 1 year",1,3,25,"none","rent",1,"skilled",1,"no","no"
"344","1 - 200 DM",18,"good","business",4439,"< 100 DM","> 7 years",1,1,33,"bank","own",1,"management",1,"yes","no"
"345","> 200 DM",10,"good","car",3949,"< 100 DM","< 1 year",1,1,37,"none","own",1,"unskilled",2,"no","no"
"346","unknown",15,"critical","furniture/appliances",1459,"< 100 DM","1 - 4 years",4,2,43,"none","own",1,"unskilled",1,"no","no"
"347","1 - 200 DM",13,"critical","furniture/appliances",882,"< 100 DM","< 1 year",4,4,23,"none","own",2,"skilled",1,"no","no"
"348","1 - 200 DM",24,"good","furniture/appliances",3758,"500 - 1000 DM","unemployed",1,4,23,"none","rent",1,"unemployed",1,"no","no"
"349","unknown",6,"poor","business",1743,"100 - 500 DM","1 - 4 years",1,2,34,"none","own",2,"unskilled",1,"no","no"
"350","1 - 200 DM",9,"critical","education",1136,"> 1000 DM","> 7 years",4,3,32,"none","other",2,"skilled",2,"no","yes"
"351","unknown",9,"good","furniture/appliances",1236,"< 100 DM","< 1 year",1,4,23,"none","rent",1,"skilled",1,"yes","no"
"352","1 - 200 DM",9,"good","furniture/appliances",959,"< 100 DM","1 - 4 years",1,2,29,"none","own",1,"skilled",1,"no","yes"
"353","unknown",18,"critical","car",3229,"unknown","unemployed",2,4,38,"none","own",1,"management",1,"yes","no"
"354","< 0 DM",12,"perfect","furniture/appliances",6199,"< 100 DM","1 - 4 years",4,2,28,"none","rent",2,"skilled",1,"yes","yes"
"355","unknown",10,"good","education",727,"500 - 1000 DM","> 7 years",4,4,46,"none","other",1,"skilled",1,"yes","no"
"356","1 - 200 DM",24,"good","car",1246,"< 100 DM","< 1 year",4,2,23,"store","own",1,"unskilled",1,"no","yes"
"357","unknown",12,"critical","furniture/appliances",2331,"unknown","> 7 years",1,4,49,"none","own",1,"skilled",1,"yes","no"
"358","unknown",36,"poor","furniture/appliances",4463,"< 100 DM","1 - 4 years",4,2,26,"none","own",2,"management",1,"yes","yes"
"359","unknown",12,"good","furniture/appliances",776,"< 100 DM","1 - 4 years",4,2,28,"none","own",1,"skilled",1,"no","no"
"360","< 0 DM",30,"good","furniture/appliances",2406,"< 100 DM","4 - 7 years",4,4,23,"none","rent",1,"skilled",1,"no","yes"
"361","1 - 200 DM",18,"good","education",1239,"unknown","1 - 4 years",4,4,61,"none","other",1,"skilled",1,"no","no"
"362","> 200 DM",12,"good","furniture/appliances",3399,"unknown","> 7 years",2,3,37,"none","own",1,"management",1,"no","no"
"363","> 200 DM",12,"poor","car",2247,"< 100 DM","1 - 4 years",2,2,36,"store","own",2,"skilled",1,"yes","no"
"364","unknown",6,"good","furniture/appliances",1766,"< 100 DM","1 - 4 years",1,2,21,"none","rent",1,"skilled",1,"no","no"
"365","< 0 DM",18,"good","furniture/appliances",2473,"< 100 DM","unemployed",4,1,25,"none","own",1,"unemployed",1,"no","yes"
"366","unknown",12,"good","business",1542,"< 100 DM","4 - 7 years",2,4,36,"none","own",1,"skilled",1,"yes","no"
"367","unknown",18,"critical","car",3850,"< 100 DM","4 - 7 years",3,1,27,"none","own",2,"skilled",1,"no","no"
"368","< 0 DM",18,"good","furniture/appliances",3650,"< 100 DM","< 1 year",1,4,22,"none","rent",1,"skilled",1,"no","no"
"369","< 0 DM",36,"good","furniture/appliances",3446,"< 100 DM","> 7 years",4,2,42,"none","own",1,"skilled",2,"no","yes"
"370","1 - 200 DM",18,"good","furniture/appliances",3001,"< 100 DM","4 - 7 years",2,4,40,"none","rent",1,"skilled",1,"no","no"
"371","unknown",36,"good","car",3079,"unknown","1 - 4 years",4,4,36,"none","own",1,"skilled",1,"no","no"
"372","unknown",18,"critical","furniture/appliances",6070,"< 100 DM","> 7 years",3,4,33,"none","own",2,"skilled",1,"yes","no"
"373","unknown",10,"critical","furniture/appliances",2146,"< 100 DM","< 1 year",1,3,23,"none","rent",2,"skilled",1,"no","no"
"374","unknown",60,"critical","car",13756,"unknown","> 7 years",2,4,63,"bank","other",1,"management",1,"yes","no"
"375","1 - 200 DM",60,"very good","car",14782,"100 - 500 DM","> 7 years",3,4,60,"bank","other",2,"management",1,"yes","yes"
"376","< 0 DM",48,"very good","business",7685,"< 100 DM","4 - 7 years",2,4,37,"none","rent",1,"skilled",1,"no","yes"
"377","unknown",18,"poor","furniture/appliances",2320,"< 100 DM","unemployed",2,3,34,"none","own",2,"skilled",1,"no","no"
"378","unknown",7,"poor","furniture/appliances",846,"unknown","> 7 years",3,4,36,"none","other",1,"skilled",1,"no","no"
"379","1 - 200 DM",36,"good","car",14318,"< 100 DM","> 7 years",4,2,57,"none","other",1,"management",1,"yes","yes"
"380","unknown",6,"critical","car",362,"100 - 500 DM","1 - 4 years",4,4,52,"none","own",2,"unskilled",1,"no","no"
"381","< 0 DM",20,"good","furniture/appliances",2212,"unknown","4 - 7 years",4,4,39,"none","own",1,"skilled",1,"yes","no"
"382","1 - 200 DM",18,"good","car",12976,"< 100 DM","unemployed",3,4,38,"none","other",1,"management",1,"yes","yes"
"383","unknown",22,"good","car",1283,"unknown","4 - 7 years",4,4,25,"none","rent",1,"skilled",1,"no","no"
"384","> 200 DM",12,"good","car",1330,"< 100 DM","< 1 year",4,1,26,"none","own",1,"skilled",1,"no","no"
"385","unknown",30,"poor","business",4272,"100 - 500 DM","1 - 4 years",2,2,26,"none","own",2,"unskilled",1,"no","no"
"386","unknown",18,"critical","furniture/appliances",2238,"< 100 DM","1 - 4 years",2,1,25,"none","own",2,"skilled",1,"no","no"
"387","unknown",18,"good","furniture/appliances",1126,"unknown","< 1 year",4,2,21,"none","rent",1,"skilled",1,"yes","no"
"388","1 - 200 DM",18,"critical","furniture/appliances",7374,"< 100 DM","unemployed",4,4,40,"store","own",2,"management",1,"yes","no"
"389","1 - 200 DM",15,"critical","business",2326,"500 - 1000 DM","1 - 4 years",2,4,27,"bank","own",1,"skilled",1,"no","no"
"390","unknown",9,"good","business",1449,"< 100 DM","4 - 7 years",3,2,27,"none","own",2,"skilled",1,"no","no"
"391","unknown",18,"good","car",1820,"< 100 DM","1 - 4 years",2,2,30,"none","own",1,"management",1,"yes","no"
"392","1 - 200 DM",12,"good","furniture/appliances",983,"> 1000 DM","< 1 year",1,4,19,"none","rent",1,"unskilled",1,"no","no"
"393","< 0 DM",36,"good","car",3249,"< 100 DM","4 - 7 years",2,4,39,"bank","other",1,"management",2,"yes","no"
"394","< 0 DM",6,"critical","furniture/appliances",1957,"< 100 DM","4 - 7 years",1,4,31,"none","own",1,"skilled",1,"no","no"
"395","unknown",9,"critical","furniture/appliances",2406,"< 100 DM","unemployed",2,3,31,"none","own",1,"management",1,"no","no"
"396","1 - 200 DM",39,"poor","education",11760,"100 - 500 DM","4 - 7 years",2,3,32,"none","rent",1,"skilled",1,"yes","no"
"397","< 0 DM",12,"good","furniture/appliances",2578,"< 100 DM","unemployed",3,4,55,"none","other",1,"management",1,"no","no"
"398","< 0 DM",36,"critical","furniture/appliances",2348,"< 100 DM","1 - 4 years",3,2,46,"none","own",2,"skilled",1,"yes","no"
"399","1 - 200 DM",12,"good","car",1223,"< 100 DM","> 7 years",1,1,46,"none","rent",2,"skilled",1,"no","yes"
"400","unknown",24,"critical","furniture/appliances",1516,"> 1000 DM","1 - 4 years",4,1,43,"none","own",2,"unskilled",1,"no","no"
"401","unknown",18,"good","furniture/appliances",1473,"< 100 DM","< 1 year",3,4,39,"none","own",1,"skilled",1,"yes","no"
"402","1 - 200 DM",18,"critical","business",1887,"unknown","1 - 4 years",4,4,28,"bank","own",2,"skilled",1,"no","no"
"403","unknown",24,"poor","business",8648,"< 100 DM","< 1 year",2,2,27,"bank","own",2,"skilled",1,"yes","yes"
"404","unknown",14,"poor","car",802,"< 100 DM","1 - 4 years",4,2,27,"none","own",2,"unskilled",1,"no","no"
"405","1 - 200 DM",18,"poor","car",2899,"unknown","> 7 years",4,4,43,"none","own",1,"skilled",2,"no","no"
"406","1 - 200 DM",24,"good","furniture/appliances",2039,"< 100 DM","< 1 year",1,1,22,"none","own",1,"skilled",1,"yes","yes"
"407","unknown",24,"critical","car",2197,"unknown","4 - 7 years",4,4,43,"none","own",2,"skilled",2,"yes","no"
"408","< 0 DM",15,"good","furniture/appliances",1053,"< 100 DM","< 1 year",4,2,27,"none","own",1,"skilled",1,"no","no"
"409","unknown",24,"good","furniture/appliances",3235,"500 - 1000 DM","> 7 years",3,2,26,"none","own",1,"management",1,"yes","no"
"410","> 200 DM",12,"critical","car",939,"500 - 1000 DM","4 - 7 years",4,2,28,"none","own",3,"skilled",1,"yes","yes"
"411","1 - 200 DM",24,"good","furniture/appliances",1967,"< 100 DM","> 7 years",4,4,20,"none","own",1,"skilled",1,"yes","no"
"412","unknown",33,"critical","car",7253,"< 100 DM","4 - 7 years",3,2,35,"none","own",2,"management",1,"yes","no"
"413","unknown",12,"critical","business",2292,"< 100 DM","unemployed",4,2,42,"store","own",2,"management",1,"yes","yes"
"414","unknown",10,"good","car",1597,"500 - 1000 DM","1 - 4 years",3,2,40,"none","rent",1,"unskilled",2,"no","no"
"415","< 0 DM",24,"good","car",1381,"unknown","1 - 4 years",4,2,35,"none","own",1,"skilled",1,"no","yes"
"416","unknown",36,"critical","car",5842,"< 100 DM","> 7 years",2,2,35,"none","own",2,"skilled",2,"yes","no"
"417","< 0 DM",12,"good","car",2579,"< 100 DM","< 1 year",4,1,33,"none","own",1,"unskilled",2,"no","yes"
"418","< 0 DM",18,"poor","education",8471,"unknown","1 - 4 years",1,2,23,"none","rent",2,"skilled",1,"yes","no"
"419","unknown",21,"good","car",2782,"500 - 1000 DM","4 - 7 years",1,2,31,"bank","own",1,"management",1,"no","no"
"420","1 - 200 DM",18,"good","car",1042,"unknown","1 - 4 years",4,2,33,"none","own",1,"skilled",1,"no","yes"
"421","unknown",15,"good","car",3186,"> 1000 DM","4 - 7 years",2,3,20,"none","rent",1,"skilled",1,"no","no"
"422","1 - 200 DM",12,"good","car",2028,"unknown","1 - 4 years",4,2,30,"none","own",1,"skilled",1,"no","no"
"423","1 - 200 DM",12,"critical","car",958,"< 100 DM","4 - 7 years",2,3,47,"none","own",2,"unskilled",2,"no","no"
"424","unknown",21,"poor","furniture/appliances",1591,"100 - 500 DM","4 - 7 years",4,3,34,"none","own",2,"management",1,"no","no"
"425","1 - 200 DM",12,"good","furniture/appliances",2762,"unknown","> 7 years",1,2,25,"bank","own",1,"skilled",1,"yes","yes"
"426","1 - 200 DM",18,"good","car",2779,"< 100 DM","1 - 4 years",1,3,21,"none","rent",1,"skilled",1,"yes","no"
"427","unknown",28,"critical","furniture/appliances",2743,"< 100 DM","> 7 years",4,2,29,"none","own",2,"skilled",1,"no","no"
"428","unknown",18,"critical","furniture/appliances",1149,"> 1000 DM","1 - 4 years",4,3,46,"none","own",2,"skilled",1,"no","no"
"429","unknown",9,"good","furniture/appliances",1313,"< 100 DM","> 7 years",1,4,20,"none","own",1,"skilled",1,"no","no"
