"id"	"sex"	"headband"	"age"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"sword.time"	"eyepatch"	"beard.length"
"255"	255	"male"	"no"	29	"CCCC"	3	7	2	"Jack Sparrow"	"banana"	9.59	1	14
"256"	256	"female"	"yes"	26	"CCCC"	8	1	6	"Lewis Scot"	"cutlass"	0.54	1	2
"257"	257	"male"	"no"	21	"CCCC"	9	4	5	"Jack Sparrow"	"scimitar"	7.1	1	14
"258"	258	"female"	"yes"	37	"JSSFP"	10	6	7	"Hook"	"cutlass"	0.15	1	0
"259"	259	"male"	"yes"	32	"JSSFP"	8	4	2	"Edward Low"	"cutlass"	0.06	0	15
"260"	260	"male"	"yes"	17	"CCCC"	8	1	0	"Jack Sparrow"	"cutlass"	0.14	1	23
"261"	261	"male"	"yes"	26	"CCCC"	13	5	3	"Jack Sparrow"	"cutlass"	0.28	1	28
"262"	262	"male"	"yes"	25	"CCCC"	8	8	5	"Jack Sparrow"	"cutlass"	0.15	1	17
"263"	263	"male"	"yes"	19	"CCCC"	11	4	1	"Blackbeard"	"cutlass"	1.14	0	21
"264"	264	"male"	"yes"	24	"CCCC"	8	3	0	"Hook"	"cutlass"	1.23	1	24
"265"	265	"male"	"yes"	23	"CCCC"	13	4	3	"Jack Sparrow"	"cutlass"	0.64	1	28
"266"	266	"male"	"yes"	11	"CCCC"	6	1	3	"Jack Sparrow"	"scimitar"	7.73	1	10
"267"	267	"male"	"yes"	24	"CCCC"	12	3	2	"Jack Sparrow"	"cutlass"	0.79	1	22
"268"	268	"male"	"yes"	26	"CCCC"	12	1	0	"Edward Low"	"cutlass"	0.18	1	22
"269"	269	"male"	"yes"	29	"CCCC"	10	24	3	"Jack Sparrow"	"cutlass"	0.41	0	16
"270"	270	"male"	"yes"	29	"JSSFP"	8	2	1	"Jack Sparrow"	"cutlass"	0.19	1	21
"271"	271	"female"	"yes"	33	"JSSFP"	10	9	1	"Anicetus"	"cutlass"	1.6	1	0
"272"	272	"male"	"yes"	21	"CCCC"	8	11	3	"Edward Low"	"cutlass"	0.37	0	19
"273"	273	"male"	"yes"	14	"CCCC"	8	3	3	"Jack Sparrow"	"cutlass"	1.19	1	30
"274"	274	"male"	"yes"	23	"CCCC"	13	20	2	"Lewis Scot"	"cutlass"	0.21	0	13
"275"	275	"male"	"yes"	34	"JSSFP"	9	8	3	"Jack Sparrow"	"cutlass"	0.18	1	20
"276"	276	"female"	"yes"	31	"CCCC"	10	0	1	"Blackbeard"	"sabre"	2.85	1	0
"277"	277	"male"	"yes"	30	"CCCC"	15	5	1	"Jack Sparrow"	"cutlass"	0.06	1	20
"278"	278	"other"	"yes"	30	"CCCC"	7	1	8	"Jack Sparrow"	"cutlass"	1.29	1	7
"279"	279	"male"	"yes"	17	"CCCC"	8	1	1	"Jack Sparrow"	"cutlass"	0.62	0	19
"280"	280	"female"	"yes"	29	"JSSFP"	16	8	3	"Hook"	"cutlass"	0.08	1	0
"281"	281	"female"	"yes"	26	"CCCC"	12	1	1	"Edward Low"	"cutlass"	0.24	1	0
"282"	282	"male"	"yes"	20	"CCCC"	8	9	0	"Jack Sparrow"	"cutlass"	1.61	1	19
"283"	283	"other"	"yes"	22	"CCCC"	11	4	6	"Blackbeard"	"cutlass"	0.26	1	17
"284"	284	"female"	"yes"	35	"JSSFP"	9	6	3	"Lewis Scot"	"cutlass"	0.4	1	0
"285"	285	"female"	"yes"	30	"CCCC"	3	12	1	"Edward Low"	"cutlass"	1.57	1	1
"286"	286	"male"	"yes"	28	"CCCC"	10	4	1	"Hook"	"cutlass"	0.24	0	15
"287"	287	"male"	"yes"	26	"CCCC"	13	28	1	"Hook"	"cutlass"	1.22	1	27
"288"	288	"female"	"no"	30	"JSSFP"	8	0	6	"Jack Sparrow"	"scimitar"	5.37	0	0
"289"	289	"female"	"yes"	24	"CCCC"	16	41	4	"Edward Low"	"cutlass"	0.18	1	0
"290"	290	"female"	"yes"	31	"JSSFP"	9	15	1	"Jack Sparrow"	"cutlass"	1.03	1	0
"291"	291	"female"	"yes"	30	"JSSFP"	10	17	2	"Hook"	"cutlass"	0.19	0	1
"292"	292	"male"	"no"	24	"CCCC"	5	0	2	"Anicetus"	"scimitar"	0.56	0	18
"293"	293	"female"	"yes"	28	"CCCC"	6	18	3	"Edward Low"	"cutlass"	0.01	1	0
"294"	294	"male"	"yes"	33	"JSSFP"	14	1	3	"Jack Sparrow"	"cutlass"	0.35	1	32
"295"	295	"female"	"yes"	36	"JSSFP"	12	4	1	"Edward Low"	"cutlass"	0.66	1	0
"296"	296	"other"	"yes"	27	"CCCC"	10	3	6	"Jack Sparrow"	"cutlass"	0.87	0	19
"297"	297	"male"	"yes"	28	"JSSFP"	13	3	3	"Jack Sparrow"	"cutlass"	0.63	1	21
"298"	298	"female"	"yes"	22	"CCCC"	13	22	1	"Hook"	"cutlass"	0.08	0	1
"299"	299	"female"	"yes"	33	"JSSFP"	14	2	3	"Jack Sparrow"	"cutlass"	0.45	1	0
"300"	300	"female"	"yes"	34	"JSSFP"	5	19	3	"Hook"	"cutlass"	0.91	1	1
"301"	301	"female"	"yes"	32	"JSSFP"	11	9	3	"Anicetus"	"cutlass"	0.18	0	0
"302"	302	"male"	"yes"	25	"CCCC"	12	2	0	"Jack Sparrow"	"cutlass"	0.15	1	26
"303"	303	"male"	"yes"	28	"CCCC"	9	2	2	"Jack Sparrow"	"cutlass"	0.1	1	26
"304"	304	"male"	"yes"	27	"CCCC"	9	8	0	"Jack Sparrow"	"cutlass"	0.48	1	19
"305"	305	"female"	"yes"	32	"JSSFP"	5	1	1	"Anicetus"	"cutlass"	0.45	1	1
"306"	306	"female"	"yes"	27	"CCCC"	9	11	5	"Hook"	"cutlass"	0.49	1	1
"307"	307	"male"	"yes"	26	"CCCC"	5	5	1	"Hook"	"cutlass"	1.38	1	11
"308"	308	"male"	"yes"	27	"CCCC"	9	20	0	"Jack Sparrow"	"cutlass"	0.23	1	25
"309"	309	"male"	"yes"	21	"CCCC"	6	9	0	"Jack Sparrow"	"cutlass"	0.43	1	16
"310"	310	"female"	"no"	30	"CCCC"	9	3	1	"Lewis Scot"	"sabre"	0.85	0	0
"311"	311	"male"	"yes"	18	"CCCC"	14	7	1	"Jack Sparrow"	"cutlass"	0.09	1	23
"312"	312	"female"	"yes"	27	"CCCC"	8	8	0	"Anicetus"	"cutlass"	1.75	0	0
"313"	313	"female"	"yes"	27	"CCCC"	16	0	1	"Blackbeard"	"cutlass"	0.54	1	0
"314"	314	"female"	"yes"	29	"JSSFP"	10	2	5	"Jack Sparrow"	"cutlass"	1.15	0	0
"315"	315	"female"	"yes"	41	"JSSFP"	11	10	1	"Hook"	"cutlass"	1.73	1	0
"316"	316	"male"	"yes"	19	"CCCC"	10	6	0	"Jack Sparrow"	"cutlass"	0.06	0	13
"317"	317	"male"	"yes"	22	"CCCC"	10	4	2	"Jack Sparrow"	"cutlass"	0.09	1	18
"318"	318	"male"	"yes"	32	"JSSFP"	6	0	3	"Blackbeard"	"sabre"	2.2	1	14
"319"	319	"female"	"yes"	37	"JSSFP"	11	72	2	"Jack Sparrow"	"cutlass"	0.34	1	0
"320"	320	"female"	"yes"	30	"JSSFP"	12	14	0	"Lewis Scot"	"cutlass"	0.34	1	1
"321"	321	"male"	"yes"	26	"CCCC"	13	1	2	"Edward Low"	"cutlass"	1.79	1	20
"322"	322	"other"	"yes"	23	"CCCC"	10	2	3	"Jack Sparrow"	"sabre"	2.67	0	12
"323"	323	"female"	"yes"	21	"CCCC"	12	2	2	"Jack Sparrow"	"cutlass"	0.04	1	0
"324"	324	"female"	"no"	28	"CCCC"	5	1	0	"Lewis Scot"	"scimitar"	0.33	1	2
"325"	325	"male"	"yes"	25	"CCCC"	13	3	0	"Jack Sparrow"	"cutlass"	0.4	1	23
"326"	326	"female"	"yes"	27	"CCCC"	8	9	1	"Lewis Scot"	"cutlass"	0.37	0	1
"327"	327	"female"	"no"	36	"JSSFP"	4	8	3	"Blackbeard"	"sabre"	0.11	1	0
"328"	328	"male"	"yes"	31	"JSSFP"	12	3	1	"Jack Sparrow"	"cutlass"	0.41	1	15
"329"	329	"male"	"yes"	29	"CCCC"	14	4	4	"Jack Sparrow"	"cutlass"	0.1	0	28
"330"	330	"male"	"yes"	27	"CCCC"	12	2	3	"Jack Sparrow"	"cutlass"	0.3	1	29
"331"	331	"male"	"yes"	18	"CCCC"	6	6	0	"Jack Sparrow"	"cutlass"	0.15	1	9
"332"	332	"male"	"yes"	27	"CCCC"	9	2	3	"Jack Sparrow"	"cutlass"	0.01	0	19
"333"	333	"female"	"yes"	30	"CCCC"	6	4	2	"Lewis Scot"	"cutlass"	0.13	0	1
"334"	334	"male"	"yes"	18	"CCCC"	10	8	0	"Jack Sparrow"	"cutlass"	0.03	1	18
"335"	335	"male"	"yes"	24	"CCCC"	6	3	2	"Blackbeard"	"cutlass"	0.29	1	19
"336"	336	"female"	"yes"	26	"CCCC"	12	29	2	"Jack Sparrow"	"sabre"	0.4	0	0
"337"	337	"male"	"yes"	21	"CCCC"	5	1	2	"Jack Sparrow"	"cutlass"	0.29	1	20
"338"	338	"male"	"yes"	29	"CCCC"	15	11	0	"Jack Sparrow"	"cutlass"	0.46	1	28
"339"	339	"male"	"yes"	21	"CCCC"	10	21	0	"Hook"	"cutlass"	1.36	1	19
"340"	340	"male"	"no"	25	"CCCC"	3	6	1	"Jack Sparrow"	"cutlass"	0.01	1	11
"341"	341	"female"	"yes"	35	"JSSFP"	15	18	1	"Edward Low"	"cutlass"	1.47	1	0
"342"	342	"male"	"no"	28	"CCCC"	7	16	3	"Jack Sparrow"	"sabre"	4.41	1	23
"343"	343	"female"	"yes"	38	"JSSFP"	10	28	0	"Anicetus"	"cutlass"	0.11	1	2
"344"	344	"female"	"no"	37	"JSSFP"	6	12	2	"Jack Sparrow"	"banana"	12.06	0	1
"345"	345	"female"	"yes"	25	"CCCC"	8	3	1	"Blackbeard"	"cutlass"	0.52	1	0
"346"	346	"female"	"yes"	25	"CCCC"	11	0	1	"Jack Sparrow"	"cutlass"	0.29	0	0
"347"	347	"male"	"yes"	27	"CCCC"	11	1	2	"Jack Sparrow"	"cutlass"	1.29	1	19
"348"	348	"female"	"no"	29	"CCCC"	8	2	0	"Edward Low"	"banana"	3.88	0	2
"349"	349	"female"	"yes"	32	"JSSFP"	12	4	2	"Edward Low"	"cutlass"	0.09	1	0
"350"	350	"female"	"yes"	31	"JSSFP"	12	0	3	"Jack Sparrow"	"scimitar"	3.56	1	2
"351"	351	"male"	"yes"	17	"CCCC"	13	2	0	"Edward Low"	"cutlass"	0.6	0	25
"352"	352	"female"	"yes"	48	"JSSFP"	7	19	3	"Hook"	"cutlass"	3.34	1	1
"353"	353	"other"	"no"	30	"JSSFP"	5	1	0	"Anicetus"	"sabre"	0.65	1	8
"354"	354	"male"	"yes"	23	"CCCC"	12	2	1	"Jack Sparrow"	"cutlass"	0.55	1	17
"355"	355	"male"	"yes"	30	"JSSFP"	8	6	0	"Jack Sparrow"	"cutlass"	0.32	0	19
"356"	356	"male"	"yes"	29	"CCCC"	6	7	2	"Jack Sparrow"	"cutlass"	0.23	1	11
"357"	357	"male"	"yes"	26	"CCCC"	15	16	4	"Jack Sparrow"	"cutlass"	0.86	0	19
"358"	358	"male"	"yes"	28	"CCCC"	9	8	0	"Jack Sparrow"	"cutlass"	0.1	1	15
"359"	359	"male"	"yes"	27	"JSSFP"	10	10	7	"Jack Sparrow"	"banana"	34.26	1	25
"360"	360	"male"	"yes"	18	"CCCC"	10	11	4	"Jack Sparrow"	"cutlass"	0.49	0	21
"361"	361	"female"	"yes"	31	"JSSFP"	13	9	0	"Hook"	"cutlass"	0.53	1	2
"362"	362	"male"	"yes"	21	"CCCC"	7	7	1	"Jack Sparrow"	"cutlass"	0.16	1	14
"363"	363	"female"	"yes"	25	"CCCC"	13	4	2	"Blackbeard"	"cutlass"	1.1	1	0
"364"	364	"male"	"yes"	32	"JSSFP"	9	3	4	"Jack Sparrow"	"cutlass"	0.08	0	17
"365"	365	"female"	"yes"	28	"JSSFP"	8	5	3	"Anicetus"	"sabre"	7.61	1	1
"366"	366	"male"	"yes"	19	"CCCC"	11	3	1	"Jack Sparrow"	"cutlass"	0.64	0	25
"367"	367	"male"	"yes"	25	"CCCC"	12	3	1	"Jack Sparrow"	"cutlass"	1.04	0	33
"368"	368	"female"	"yes"	29	"CCCC"	6	8	7	"Edward Low"	"cutlass"	0.07	1	0
"369"	369	"male"	"yes"	23	"CCCC"	15	11	3	"Lewis Scot"	"cutlass"	0.25	1	19
"370"	370	"female"	"yes"	29	"JSSFP"	14	3	3	"Lewis Scot"	"cutlass"	0.41	1	0
"371"	371	"male"	"yes"	20	"CCCC"	11	13	1	"Jack Sparrow"	"scimitar"	3.72	1	26
"372"	372	"male"	"yes"	28	"CCCC"	9	0	5	"Jack Sparrow"	"cutlass"	0.08	1	15
"373"	373	"female"	"yes"	39	"JSSFP"	8	4	13	"Lewis Scot"	"sabre"	10.69	1	1
"374"	374	"male"	"yes"	24	"CCCC"	6	4	3	"Blackbeard"	"cutlass"	1.5	1	20
"375"	375	"male"	"yes"	23	"CCCC"	9	10	5	"Blackbeard"	"cutlass"	0.91	1	17
"376"	376	"male"	"yes"	26	"CCCC"	8	0	3	"Edward Low"	"scimitar"	2.66	1	26
"377"	377	"female"	"yes"	32	"JSSFP"	7	2	0	"Hook"	"cutlass"	0.22	0	0
"378"	378	"male"	"yes"	18	"CCCC"	8	2	1	"Jack Sparrow"	"cutlass"	1.51	1	17
"379"	379	"female"	"yes"	38	"JSSFP"	15	1	8	"Lewis Scot"	"cutlass"	1.3	1	1
"380"	380	"female"	"yes"	29	"JSSFP"	3	1	1	"Lewis Scot"	"cutlass"	1.09	1	0
"381"	381	"male"	"yes"	34	"JSSFP"	6	14	4	"Blackbeard"	"cutlass"	0.25	1	25
"382"	382	"male"	"no"	29	"CCCC"	0	2	1	"Jack Sparrow"	"scimitar"	0.73	1	5
"383"	383	"female"	"yes"	37	"JSSFP"	12	5	9	"Blackbeard"	"cutlass"	2.47	1	0
"384"	384	"male"	"yes"	21	"CCCC"	12	1	1	"Jack Sparrow"	"cutlass"	1.61	1	14
"385"	385	"male"	"yes"	16	"CCCC"	8	0	2	"Jack Sparrow"	"cutlass"	1.19	0	11
"386"	386	"male"	"yes"	29	"CCCC"	13	3	6	"Jack Sparrow"	"cutlass"	0.8	1	30
"387"	387	"female"	"yes"	35	"JSSFP"	6	2	3	"Hook"	"cutlass"	1.29	1	0
"388"	388	"female"	"yes"	35	"JSSFP"	7	27	1	"Hook"	"cutlass"	0.85	1	0
"389"	389	"female"	"yes"	31	"JSSFP"	10	4	1	"Edward Low"	"cutlass"	0.52	0	1
"390"	390	"male"	"yes"	31	"JSSFP"	8	3	1	"Anicetus"	"cutlass"	0.98	1	15
"391"	391	"female"	"yes"	32	"CCCC"	6	6	1	"Blackbeard"	"cutlass"	1.31	1	1
"392"	392	"female"	"yes"	30	"CCCC"	11	11	0	"Blackbeard"	"cutlass"	0.11	1	0
"393"	393	"female"	"yes"	22	"CCCC"	13	10	2	"Edward Low"	"cutlass"	0.78	1	0
"394"	394	"female"	"no"	31	"JSSFP"	4	1	1	"Jack Sparrow"	"scimitar"	2.12	1	0
"395"	395	"female"	"yes"	29	"CCCC"	10	6	3	"Jack Sparrow"	"cutlass"	1.64	0	0
"396"	396	"female"	"yes"	26	"CCCC"	15	2	7	"Blackbeard"	"sabre"	3.86	1	1
"397"	397	"male"	"yes"	33	"JSSFP"	11	5	5	"Jack Sparrow"	"cutlass"	0.66	1	20
"398"	398	"male"	"yes"	26	"CCCC"	10	2	3	"Jack Sparrow"	"cutlass"	0.17	1	22
"399"	399	"male"	"yes"	28	"CCCC"	5	18	6	"Hook"	"cutlass"	0.63	1	20
"400"	400	"male"	"yes"	23	"CCCC"	10	3	0	"Jack Sparrow"	"cutlass"	0.86	1	20
"401"	401	"male"	"no"	25	"CCCC"	3	15	1	"Hook"	"sabre"	8.91	1	0
"402"	402	"male"	"yes"	38	"JSSFP"	12	14	2	"Jack Sparrow"	"cutlass"	0	1	28
"403"	403	"male"	"yes"	24	"CCCC"	10	4	2	"Jack Sparrow"	"cutlass"	0.42	0	8
"404"	404	"female"	"yes"	31	"JSSFP"	10	4	1	"Jack Sparrow"	"sabre"	4.33	1	0
"405"	405	"female"	"yes"	39	"JSSFP"	12	4	1	"Anicetus"	"cutlass"	0.14	1	0
"406"	406	"female"	"yes"	31	"CCCC"	11	0	2	"Jack Sparrow"	"cutlass"	0.48	1	0
"407"	407	"female"	"yes"	24	"CCCC"	7	21	2	"Lewis Scot"	"cutlass"	1.14	1	0
"408"	408	"male"	"yes"	16	"CCCC"	10	6	2	"Jack Sparrow"	"cutlass"	0.03	0	22
"409"	409	"male"	"yes"	15	"CCCC"	9	2	0	"Jack Sparrow"	"scimitar"	2.26	1	19
"410"	410	"female"	"yes"	28	"CCCC"	9	8	8	"Hook"	"cutlass"	0.7	0	0
"411"	411	"male"	"yes"	28	"JSSFP"	11	2	0	"Jack Sparrow"	"cutlass"	0.6	0	17
"412"	412	"male"	"yes"	28	"CCCC"	7	2	2	"Lewis Scot"	"scimitar"	15.07	1	14
"413"	413	"male"	"no"	30	"CCCC"	4	16	0	"Jack Sparrow"	"scimitar"	4.98	1	6
"414"	414	"female"	"no"	29	"JSSFP"	8	12	1	"Anicetus"	"banana"	7.81	1	0
"415"	415	"male"	"yes"	21	"CCCC"	7	4	3	"Jack Sparrow"	"cutlass"	1.71	0	10
"416"	416	"male"	"yes"	29	"CCCC"	10	5	1	"Jack Sparrow"	"scimitar"	1.37	1	18
"417"	417	"male"	"yes"	24	"CCCC"	10	1	4	"Jack Sparrow"	"cutlass"	0.13	0	15
"418"	418	"male"	"yes"	28	"CCCC"	11	1	10	"Jack Sparrow"	"cutlass"	0.76	1	23
"419"	419	"male"	"yes"	31	"JSSFP"	5	4	1	"Jack Sparrow"	"cutlass"	0.52	1	14
"420"	420	"female"	"yes"	35	"JSSFP"	7	1	1	"Edward Low"	"cutlass"	0.45	1	1
"421"	421	"female"	"yes"	30	"CCCC"	12	18	1	"Hook"	"cutlass"	0.5	1	0
"422"	422	"male"	"yes"	26	"CCCC"	9	9	0	"Jack Sparrow"	"cutlass"	0.29	1	20
"423"	423	"male"	"yes"	26	"CCCC"	18	22	2	"Lewis Scot"	"cutlass"	1.7	0	34
"424"	424	"female"	"yes"	36	"JSSFP"	3	7	1	"Jack Sparrow"	"cutlass"	0.09	1	0
"425"	425	"female"	"yes"	31	"JSSFP"	8	3	1	"Anicetus"	"cutlass"	0.79	0	0
"426"	426	"female"	"yes"	37	"JSSFP"	7	1	2	"Edward Low"	"scimitar"	11.38	1	0
"427"	427	"male"	"yes"	26	"CCCC"	5	1	1	"Jack Sparrow"	"cutlass"	0.78	1	12
"428"	428	"female"	"yes"	27	"CCCC"	10	6	0	"Hook"	"cutlass"	0.97	1	0
"429"	429	"male"	"yes"	27	"CCCC"	9	6	2	"Jack Sparrow"	"cutlass"	0.8	1	24
"430"	430	"female"	"yes"	18	"CCCC"	13	1	4	"Blackbeard"	"cutlass"	0.54	1	1
"431"	431	"female"	"no"	37	"JSSFP"	5	7	1	"Edward Low"	"sabre"	0.87	1	0
"432"	432	"female"	"yes"	38	"JSSFP"	5	10	5	"Edward Low"	"cutlass"	0.23	1	1
"433"	433	"male"	"yes"	34	"JSSFP"	6	17	4	"Jack Sparrow"	"cutlass"	0.05	1	21
"434"	434	"male"	"no"	29	"CCCC"	5	2	2	"Jack Sparrow"	"sabre"	1.51	1	12
"435"	435	"female"	"yes"	32	"JSSFP"	9	14	2	"Lewis Scot"	"cutlass"	0.65	1	1
"436"	436	"male"	"yes"	19	"CCCC"	12	12	7	"Jack Sparrow"	"cutlass"	0	1	25
"437"	437	"male"	"yes"	32	"JSSFP"	8	1	1	"Jack Sparrow"	"cutlass"	0.24	0	20
"438"	438	"male"	"yes"	27	"CCCC"	12	2	1	"Edward Low"	"cutlass"	1	1	13
"439"	439	"female"	"yes"	32	"JSSFP"	6	2	7	"Edward Low"	"cutlass"	1.56	1	0
"440"	440	"female"	"yes"	27	"JSSFP"	9	3	4	"Lewis Scot"	"cutlass"	0.57	1	0
"441"	441	"other"	"yes"	20	"CCCC"	12	2	4	"Anicetus"	"cutlass"	0.55	0	15
"442"	442	"female"	"yes"	27	"CCCC"	12	6	5	"Jack Sparrow"	"cutlass"	0.83	1	2
"443"	443	"female"	"yes"	23	"CCCC"	7	7	1	"Blackbeard"	"cutlass"	0.08	1	2
"444"	444	"female"	"yes"	35	"JSSFP"	11	25	0	"Jack Sparrow"	"cutlass"	0.38	0	1
"445"	445	"female"	"yes"	24	"CCCC"	6	0	7	"Jack Sparrow"	"cutlass"	0.7	1	1
"446"	446	"female"	"yes"	31	"JSSFP"	11	27	0	"Jack Sparrow"	"cutlass"	0.06	1	2
"447"	447	"male"	"yes"	18	"CCCC"	11	4	3	"Blackbeard"	"cutlass"	0.28	1	20
"448"	448	"male"	"yes"	30	"JSSFP"	9	5	8	"Jack Sparrow"	"cutlass"	0.17	1	27
"449"	449	"male"	"yes"	12	"CCCC"	10	4	0	"Jack Sparrow"	"cutlass"	1.47	1	13
"450"	450	"male"	"yes"	24	"CCCC"	12	3	0	"Jack Sparrow"	"cutlass"	0.66	1	27
"451"	451	"female"	"yes"	21	"CCCC"	6	2	1	"Blackbeard"	"cutlass"	0.32	1	0
"452"	452	"male"	"yes"	23	"CCCC"	8	0	8	"Edward Low"	"cutlass"	0.15	1	23
"453"	453	"male"	"no"	29	"CCCC"	11	1	1	"Jack Sparrow"	"banana"	4.88	0	26
"454"	454	"female"	"yes"	25	"CCCC"	7	2	1	"Hook"	"banana"	6.94	1	0
"455"	455	"female"	"yes"	31	"JSSFP"	13	2	13	"Blackbeard"	"cutlass"	1.85	0	1
"456"	456	"female"	"yes"	32	"JSSFP"	14	14	2	"Hook"	"cutlass"	0.87	1	0
"457"	457	"male"	"yes"	27	"CCCC"	8	5	4	"Jack Sparrow"	"cutlass"	0.8	0	27
"458"	458	"male"	"no"	28	"CCCC"	4	6	0	"Jack Sparrow"	"sabre"	3.04	1	13
"459"	459	"other"	"yes"	26	"CCCC"	5	3	2	"Hook"	"cutlass"	0.54	0	1
"460"	460	"female"	"yes"	30	"JSSFP"	9	9	1	"Blackbeard"	"cutlass"	0.11	1	0
"461"	461	"female"	"yes"	31	"JSSFP"	6	8	4	"Lewis Scot"	"cutlass"	0.08	1	0
"462"	462	"female"	"no"	33	"JSSFP"	7	4	12	"Hook"	"banana"	3.39	1	1
"463"	463	"female"	"yes"	38	"JSSFP"	7	14	3	"Lewis Scot"	"cutlass"	1.65	1	0
"464"	464	"other"	"yes"	27	"JSSFP"	10	0	0	"Blackbeard"	"cutlass"	1.02	0	23
"465"	465	"male"	"no"	22	"CCCC"	2	7	2	"Lewis Scot"	"cutlass"	0.56	0	3
"466"	466	"female"	"yes"	30	"JSSFP"	6	3	0	"Anicetus"	"cutlass"	0.88	0	1
"467"	467	"female"	"yes"	36	"JSSFP"	13	2	1	"Blackbeard"	"cutlass"	0.9	1	0
"468"	468	"male"	"yes"	33	"JSSFP"	11	13	1	"Jack Sparrow"	"cutlass"	1.55	1	23
"469"	469	"male"	"yes"	40	"JSSFP"	12	11	0	"Jack Sparrow"	"cutlass"	2.13	1	31
"470"	470	"male"	"yes"	37	"JSSFP"	13	9	1	"Jack Sparrow"	"cutlass"	0.44	1	24
"471"	471	"female"	"yes"	28	"CCCC"	8	4	3	"Anicetus"	"cutlass"	1.08	0	0
"472"	472	"female"	"yes"	39	"JSSFP"	6	9	6	"Jack Sparrow"	"cutlass"	0.58	1	0
"473"	473	"male"	"yes"	34	"JSSFP"	8	5	3	"Jack Sparrow"	"cutlass"	0.67	1	14
"474"	474	"female"	"yes"	28	"CCCC"	13	1	1	"Anicetus"	"cutlass"	0.88	0	1
"475"	475	"male"	"yes"	14	"CCCC"	11	2	3	"Jack Sparrow"	"cutlass"	0.95	0	24
"476"	476	"female"	"no"	31	"JSSFP"	8	10	5	"Lewis Scot"	"banana"	18.05	1	2
"477"	477	"female"	"yes"	31	"JSSFP"	10	17	8	"Hook"	"cutlass"	0.06	1	1
"478"	478	"male"	"yes"	15	"CCCC"	9	2	0	"Jack Sparrow"	"cutlass"	0.37	1	11
"479"	479	"male"	"yes"	27	"CCCC"	7	4	1	"Jack Sparrow"	"cutlass"	1.35	1	20
"480"	480	"other"	"yes"	24	"CCCC"	9	9	8	"Blackbeard"	"cutlass"	1.42	0	8
"481"	481	"male"	"no"	24	"CCCC"	2	9	4	"Jack Sparrow"	"banana"	5.34	1	8
"482"	482	"male"	"yes"	35	"JSSFP"	11	9	4	"Jack Sparrow"	"cutlass"	0.22	0	28
"483"	483	"male"	"yes"	26	"CCCC"	12	8	0	"Blackbeard"	"cutlass"	1.35	1	24
"484"	484	"male"	"yes"	23	"CCCC"	11	4	1	"Jack Sparrow"	"cutlass"	0.69	1	23
"485"	485	"male"	"yes"	21	"CCCC"	17	25	1	"Blackbeard"	"cutlass"	0.07	0	16
"486"	486	"female"	"yes"	24	"CCCC"	9	9	3	"Anicetus"	"scimitar"	6.42	1	0
"487"	487	"female"	"yes"	30	"CCCC"	9	7	2	"Anicetus"	"cutlass"	0.03	1	0
"488"	488	"male"	"yes"	35	"JSSFP"	9	2	1	"Anicetus"	"cutlass"	0.9	1	22
"489"	489	"female"	"yes"	26	"CCCC"	13	6	2	"Blackbeard"	"cutlass"	0.04	0	0
"490"	490	"female"	"yes"	24	"CCCC"	5	5	2	"Blackbeard"	"cutlass"	0.03	1	1
"491"	491	"male"	"yes"	22	"CCCC"	7	1	0	"Jack Sparrow"	"cutlass"	0.32	1	23
"492"	492	"female"	"yes"	35	"JSSFP"	13	8	0	"Blackbeard"	"cutlass"	0.79	0	0
"493"	493	"male"	"yes"	24	"CCCC"	14	11	3	"Blackbeard"	"cutlass"	0.2	0	23
"494"	494	"female"	"yes"	30	"JSSFP"	5	2	2	"Anicetus"	"cutlass"	1.14	0	0
"495"	495	"female"	"no"	28	"CCCC"	5	7	4	"Lewis Scot"	"scimitar"	0.06	1	0
"496"	496	"female"	"no"	36	"JSSFP"	7	4	4	"Hook"	"banana"	2.66	1	0
"497"	497	"male"	"yes"	27	"CCCC"	13	4	4	"Jack Sparrow"	"cutlass"	0.29	0	18
"498"	498	"male"	"yes"	30	"JSSFP"	12	9	1	"Hook"	"cutlass"	2.12	0	21
"499"	499	"male"	"yes"	25	"CCCC"	10	3	3	"Jack Sparrow"	"cutlass"	0.61	1	28
"500"	500	"female"	"yes"	27	"JSSFP"	12	0	1	"Anicetus"	"cutlass"	0.17	0	0
"501"	501	"female"	"yes"	36	"JSSFP"	6	4	0	"Lewis Scot"	"cutlass"	2.91	1	1
"502"	502	"male"	"yes"	29	"JSSFP"	11	5	1	"Jack Sparrow"	"cutlass"	0	1	28
"503"	503	"female"	"yes"	30	"JSSFP"	11	2	2	"Jack Sparrow"	"cutlass"	0.45	1	2
"504"	504	"female"	"yes"	32	"CCCC"	7	7	1	"Blackbeard"	"cutlass"	0.39	0	0
"505"	505	"male"	"yes"	21	"CCCC"	10	23	4	"Jack Sparrow"	"cutlass"	0.27	1	24
"506"	506	"female"	"yes"	20	"CCCC"	11	9	8	"Lewis Scot"	"cutlass"	0.19	1	0
"507"	507	"female"	"no"	40	"JSSFP"	7	6	28	"Anicetus"	"sabre"	0.8	1	0
"508"	508	"male"	"yes"	14	"CCCC"	10	0	1	"Jack Sparrow"	"cutlass"	0.14	0	13
