"movie7653.name"	"total.boxoffice.earnings"	"dvd.earnings.in.us.639c"	"total.movie.budget"	"rating.GPGPG13RNC17"	"genreX8423"	"TIME"	"year.of.release"	"sequel"
"961"	"Wall Street 2: Money Never Sleeps"	137431619	16748512	7e+07	"13"	"Drama"	"127"	2010	"1"
"962"	"Last Action Hero"	137298489	NA	8.5e+07	"13"	"Action"	NA	1993	"0"
"963"	"RED 2"	137162560	28606831	8.4e+07	"PG13"	"Action"	"116"	2013	"1"
"964"	"Big Momma's House 2"	137047376	21391039	4e+07	"PG-13"	"Comedy"	NA	2006	"1"
"965"	"Anaconda"	136957989	NA	4.5e+07	"PG13"	"Horror"	"89"	1997	"0"
"966"	"Let’s Be Cops"	136890774	9352595	1.7e+07	"R"	"comedy"	"104"	2014	"0"
"967"	"Stardust"	136760542	27120407	7e+07	"PG-13"	"Adventure"	"128"	2007	"0"
"968"	"Remember the Titans"	136706683	NA	3e+07	"PG"	"Drama"	"113"	2000	"0"
"969"	"Love Story"	136397186	NA	0	"PG"	"Drama"	"99"	1970	"0"
"970"	"Unknown"	136123083	11764299	4e+07	"PG13"	"Thriller/Suspense"	"108"	2010	"0"
"971"	"Lost In Space"	136032598	NA	8e+07	"PG-13"	"Adventure"	"130"	1998	"0"
"972"	"The Bounty Hunter"	135808837	20412754	4.5e+07	"13"	"Romantic Comedy"	"111"	2010	"0"
"973"	"Saw IV"	135759694	32443947	1e+07	"R"	"Horror"	NA	2007	"1"
"974"	"The Intern"	135573279	NA	4e+07	"PG-13"	"Comedy"	"121"	2015	"0"
"975"	"Cheaper by the Dozen 2"	135015330	29882556	6e+07	"PG"	"Comedy"	NA	2005	"1"
"976"	"Sense and Sensibility"	134975897	NA	16500000	"PG"	"Drama"	NA	1995	"0"
"977"	"The Best Exotic Marigold Hotel"	134639780	18574908	1e+07	"PG-13"	"Comedy"	"122"	2011	"0"
"978"	"Zero Dark Thirty"	134612435	7630465	52500000	"R"	"Drama"	"137"	2012	"0"
"979"	"Pokemon 2000"	133946923	NA	3e+07	"General"	"Adventure"	NA	2000	"1"
"980"	"The Cat in the Hat"	133818283	NA	1.09e+08	"PG"	"Comedy"	"82"	2003	"0"
"981"	"Saw 3D"	133735284	9660236	1.7e+07	"R"	"Horror"	"91"	2010	"1"
"982"	"Perfume: The Story of a Murderer"	133603463	8082799	63700000	"R"	"Drama"	NA	2006	"0"
"983"	"Myeong-ryang"	133450917	20223	0	"Not Rated"	"Action"	"127"	2014	"0"
"984"	"Hot Shots! Part Deux"	133448689	NA	0	"PG-13"	"Comedy"	NA	1993	"1"
"985"	"La marche de l'empereur"	133276359	NA	3400000	"General"	"Documentary"	NA	2005	"0"
"986"	"Astérix aux Jeux Olympiques"	132999811	NA	9.77e+23	"Not Rated"	"Adventure"	NA	2008	"0"
"987"	"Platoon"	132761962	NA	6e+06	"R"	"Drama"	"119"	1986	"0"
"988"	"2 Guns"	132493015	12417315	6.1e+07	"R"	"Action"	"109"	2012	"0"
"989"	"Blade: Trinity"	132397389	NA	6.5e+07	"R"	"Action"	"113"	2004	"1"
"990"	"A League of Their Own"	132310685	NA	4e+07	"PG"	"Comedy"	"128"	1992	"0"
"991"	"Babel"	132121212	31475498	2e+07	"R"	"Drama"	"143"	2006	"0"
"992"	"School of Rock"	131945303	NA	2e+07	"PG-13"	"Comedy"	"110"	2003	"0"
"993"	"Munich"	131492772	33127910	7.5e+07	"R"	"Drama"	"164"	2005	"0"
"994"	"Seven Years in Tibet"	131401509	NA	7e+07	"PG-13"	"Drama"	"131"	1997	"0"
"995"	"Jack Ryan: Shadow Recruit"	131377412	7443708	6e+07	"PG13"	"Action"	"105"	2013	"0"
"996"	"1408"	131253353	49766172	22500000	"R"	"Horror"	"104"	2007	"0"
"997"	"Law Abiding Citizen"	131159781	22498239	5.3e+07	"R"	"Thriller/Suspense"	NA	2009	"0"
"998"	"Blade"	131096877	NA	4.5e+07	"R"	"Action"	"120"	1998	"0"
"999"	"Man on Fire"	130968579	NA	6e+07	"R"	"Thriller/Suspense"	"146"	2004	"0"
"1000"	"Mean Girls"	130953026	NA	1.8e+07	"PG-13"	"Comedy"	NA	2004	"0"
"1001"	"Brüno"	130788243	12011592	4.2e+07	"R"	"Comedy"	"82"	2009	"0"
"1002"	"About a Boy"	130759651	NA	2.7e+07	"PG13"	"Romantic Comedy"	NA	2002	"0"
"1003"	"Cloud Atlas"	130673154	7722654	1.02e+08	"R"	"Drama"	"172"	2011	"0"
"1004"	"Walking with Dinosaurs"	130580730	7866796	8e+07	"PG"	"Adventure"	"87"	2012	"0"
"1005"	"Star Trek IV: The Voyage Home"	130396178	NA	2.4e+07	"PG"	"Adventure"	"122"	1986	"1"
"1006"	"You, Me and Dupree"	130228110	41744493	5.4e+07	"PG13"	"Comedy"	"-57"	2006	"0"
"1007"	"V for Vendetta"	130214162	58827647	5e+07	"R"	"Action"	NA	2006	"0"
"1008"	"Bewitched"	130098562	NA	8e+07	"PG-13"	"Comedy"	"98"	2005	"0"
"1009"	"Jingle All the Way"	129813641	NA	6e+07	"PG"	"Comedy"	NA	1996	"0"
"1010"	"Atonement"	129779728	18511613	3e+07	"R"	"Drama"	NA	2007	"0"
"1011"	"The Fighter"	129262388	26281131	1.1e+07	"R"	"Drama"	"115"	2010	"0"
"1012"	"The Forbidden Kingdom"	129075270	30646954	5.5e+07	"13"	"Action"	"105"	2008	"0"
"1013"	"The Woman in Black"	128955898	8910030	1.5e+07	"PG13"	"Thriller/Suspense"	"95"	2011	"0"
"1014"	"The Queen"	128885873	29193784	1.5e+07	"PG13"	"Drama"	NA	2006	"0"
"1015"	"Aliens vs. Predator - Requiem"	128884494	29898693	0	"R"	"Action"	NA	2007	"1"
"1016"	"Space Cowboys"	128874043	NA	6.5e+07	"13"	"Adventure"	"130"	2000	"0"
"1017"	"The Talented Mr. Ripley"	128792135	NA	4e+07	"R"	"Drama"	"139"	1999	"0"
"1018"	"Nanny McPhee"	128590699	42756363	2.5e+07	"PG"	"Comedy"	NA	2006	"0"
"1019"	"Step Brothers"	128468793	69273481	6.5e+07	"R"	"Comedy"	"95"	2008	"0"
"1020"	"Failure to Launch"	128402901	41413455	5e+07	"PG-13"	"Romantic Comedy"	"97"	2006	"0"
"1021"	"The Artist"	128256712	10285149	1.6e+07	"PG-13"	"Drama"	"100"	2011	"0"
"1022"	"Blended"	127990741	11227648	4.5e+07	"PG13"	"Romantic Comedy"	"117"	2014	"0"
"1023"	"Everest"	127990128	NA	0	"PG-13"	"Documentary"	"44"	1998	"0"
"1024"	"Forever Young"	127942530	NA	0	"PG"	"Drama"	NA	1992	"0"
"1025"	"The Heartbreak Kid"	127768790	12912091	0	"R"	"Romantic Comedy"	"116"	2007	"0"
"1026"	"Gandhi"	127767889	NA	2.2e+07	NA	"Drama"	NA	1982	"0"
"1027"	"U-571"	127630030	NA	6.2e+07	"PG13"	"Action"	NA	2000	"0"
"1028"	"An Officer and a Gentleman"	127311887	NA	0	"R"	"Drama"	"122"	1982	"0"
"1029"	"Predators"	127234389	23383394	4e+07	"R"	"Action"	NA	2010	"1"
"1030"	"First Knight"	127027335	NA	7.5e+07	"13"	"Drama"	"134"	1995	"0"
"1031"	"The Adjustment Bureau"	126931325	13582628	50200000	"13"	"Thriller/Suspense"	"105"	2010	"0"
"1032"	"Smokey and the Bandit"	126737428	NA	0	"PG"	"Comedy"	"96"	1977	"0"
"1033"	"Julie & Julia"	126646119	50946547	4e+07	"PG13"	"Comedy"	"122"	2009	"0"
"1034"	"Pride & Prejudice"	126549607	77550887	2.8e+07	"PG"	"Drama"	NA	2005	"0"
"1035"	"This is the End"	126539117	7678914	3.2e+07	"R"	"Comedy"	"106"	2013	"0"
"1036"	"American Wedding"	126425115	NA	5.5e+07	"R"	"Comedy"	"96"	2003	"1"
"1037"	"Boomerang"	126337168	NA	4.2e+07	"R"	"Comedy"	NA	1992	"0"
"1038"	"Sex Tape"	126069509	4786117	4e+07	"R"	"Comedy"	"95"	2014	"0"
"1039"	"Staying Alive"	126041474	NA	0	NA	"Musical"	NA	1983	"1"
"1040"	"Coraline"	126037057	47260765	6e+07	"PG"	"Adventure"	"100"	2009	"0"
"1041"	"The Dream is Alive"	125900000	NA	0	"Not Rated"	"Documentary"	"-40"	1985	"0"
"1042"	"Wolf"	125486001	NA	7e+07	"R"	"Thriller/Suspense"	NA	1994	"0"
"1043"	"I Know What You Did Last Summer"	125219395	NA	1.7e+07	"R"	"Horror"	NA	1997	"0"
"1044"	"First Blood"	125212904	NA	1.4e+07	"R"	"Action"	NA	1982	"0"
"1045"	"Resident Evil: Apocalypse"	125168734	NA	5e+07	"R"	"Horror"	NA	2004	"1"
"1046"	"Fack ju Gohte 2"	1.25e+08	NA	0	"Not Rated"	"Comedy"	"0"	2015	"0"
"1047"	"Goldfinger"	124900000	NA	3e+06	NA	"Action"	NA	1964	"1"
"1048"	"Legally Blonde 2: Red, White & Blonde"	124868825	NA	2.5e+07	"PG"	"Comedy"	NA	2003	"1"
"1049"	"Ray"	124823094	NA	4e+07	"13"	"Drama"	"152"	2004	"0"
"1050"	"The Family Man"	124715863	NA	6e+07	"PG-13"	"Comedy"	"125"	2000	"0"
"1051"	"Invictus"	124514011	14610496	6e+07	"PG-13"	"Drama"	"135"	2009	"0"
"1052"	"The Thomas Crown Affair"	124304264	NA	4.8e+07	"R"	"Drama"	NA	1999	"yes"
"1053"	"The Pirates! Band of Misfits"	124080105	5675365	5.5e+07	"PG"	"Adventure"	"88"	2011	"0"
"1054"	"Big Fish"	123954323	NA	7e+07	"13"	"Drama"	NA	2003	"0"
"1055"	"Hide and Seek"	123696741	NA	2.5e+07	"R"	"Thriller/Suspense"	"100"	2005	"0"
"1056"	"Chronicle"	123681790	8453614	1.2e+07	"13"	"Thriller/Suspense"	"106"	2011	"0"
"1057"	"The Wedding Singer"	123324502	NA	0	"13"	"Romantic Comedy"	"97"	1998	"0"
"1058"	"Space Station"	123217355	NA	0	"Not Rated"	"Documentary"	NA	2002	"0"
"1059"	"The Nut Job"	122529966	13903681	3e+07	"PG"	"Adventure"	"86"	2013	"0"
"1060"	"Save the Last Dance"	122244329	NA	1.3e+07	"13"	"Drama"	NA	2001	"0"
"1061"	"The Theory of Everything"	122147772	3581127	1.5e+07	"PG13"	"Drama"	"123"	2014	"0"
"1062"	"Mortal Kombat"	122123929	NA	2e+07	"13"	"Action"	NA	1995	"0"
"1063"	"The Princess Diaries 2: Royal Engagement"	122071435	NA	4.5e+07	"General"	"Romantic Comedy"	"113"	2004	"1"
"1064"	"Executive Decision"	121872312	NA	5.5e+07	"R"	"Thriller/Suspense"	NA	1996	"0"
"1065"	"Poltergeist"	121706019	NA	10700000	"PG"	"Horror"	"114"	1982	"0"
"1066"	"Sahara"	121671925	NA	1.45e+08	"PG13"	"Adventure"	NA	2005	"0"
"1067"	"Good Morning Vietnam"	121650966	NA	1.3e+07	"R"	"Comedy"	"120"	1987	"0"
"1068"	"Parenthood"	121619673	NA	0	"13"	"Comedy"	"124"	1989	"0"
"1069"	"Intolerable Cruelty"	121327628	NA	6e+07	"PG13"	"Romantic Comedy"	"100"	2003	"0"
"1070"	"Apocalypto"	121032272	43440938	4e+07	"R"	"Adventure"	"138"	2006	"0"
"1071"	"Starship Troopers"	121031113	NA	1e+08	"R"	"Action"	NA	1997	"0"
"1072"	"To Fly!"	120700000	NA	0	"Not Rated"	NA	NA	1976	"0"
"1073"	"Insidious Chapter 3"	120678444	NA	1e+07	"PG-13"	"Horror"	"97"	2015	"0"
"1074"	"Eight Below"	120612565	104910627	4e+07	"PG"	"Adventure"	"120"	2006	"0"
"1075"	"Parental Guidance"	120168633	10052262	2.5e+07	"PG"	"Comedy"	"104"	2012	"0"
"1076"	"Volcano"	120027316	NA	9e+07	"PG13"	"Action"	NA	1997	"0"
"1077"	"Qu'est ce qu'on a fait au bon dieu"	1.2e+08	NA	0	NA	"Comedy"	"97"	2014	"0"
"1078"	"Rocky V"	119946358	NA	0	"PG13"	"Action"	NA	1990	"1"
"1079"	"Jeepers Creepers II"	119923801	NA	2.5e+07	"R"	"Horror"	NA	2003	"1"
"1080"	"Star Trek: Generations"	119839306	NA	3.8e+07	"PG"	"Adventure"	NA	1994	"1"
"1081"	"Michael"	119745070	NA	0	"PG"	"Comedy"	NA	1996	"0"
"1082"	"Road Trip"	119739110	NA	1.6e+07	"R"	"Comedy"	NA	2000	"0"
"1083"	"Spy Kids 2: The Island of Lost Dreams"	119721296	NA	3.8e+07	"PG"	"Adventure"	NA	2002	"1"
"1084"	"Surrogates"	119668350	12822782	8e+07	"PG13"	"Action"	NA	2009	"0"
"1085"	"Red Cliff"	119627047	NA	4e+07	"R"	"Action"	NA	2008	"0"
"1086"	"Charlie Wilson's War"	119512771	18051737	7.5e+07	"R"	"Drama"	"97"	2007	"0"
"1087"	"Blazing Saddles"	119500000	NA	2600000	"R"	"Comedy"	"93"	1974	"0"
"1088"	"Rocky III"	119350720	NA	0	"PG"	"Action"	"100"	1982	"1"
"1089"	"The Omen"	119295584	14259327	2.5e+07	"R"	"Horror"	NA	2006	"0"
"1090"	"Beverly Hills Cop III"	119180938	NA	5e+07	"R"	"Action"	NA	1994	"1"
"1091"	"Unfaithful"	119114494	NA	5e+07	"R"	"Drama"	NA	2002	"0"
"1092"	"We Bought a Zoo"	118729073	27441632	5e+07	"PG"	"Drama"	"124"	2011	"0"
"1093"	"On Golden Pond"	118710777	NA	0	"PG"	"Drama"	"109"	1981	"0"
"1094"	"Barnyard: The Original Party Animals"	118583844	65287926	5.1e+07	"PG"	"Comedy"	NA	2006	"0"
"1095"	"Hua Pi 2"	118528842	NA	0	"Not Rated"	"Action"	"131"	2012	"1"
"1096"	"Hotel for Dogs"	118230763	33486352	7.5e+07	"PG"	"Comedy"	"100"	2009	"0"
"1097"	"Saw V"	118209778	30446319	10800000	"R"	"Horror"	NA	2008	"1"
"1098"	"Shall We Dance?"	118097882	NA	4e+07	"PG-13"	"Romantic Comedy"	"3838"	2004	"0"
"1099"	"Kaze Tachinu"	117924700	2121340	0	"PG-13"	"Drama"	"126"	2013	"0"
"1100"	"Disturbia"	117825354	34861608	2e+07	"PG-13"	"Thriller/Suspense"	NA	2007	"0"
"1101"	"Magic Mike XXL"	117813057	NA	14500000	"R"	"Comedy"	"115"	2015	"1"
"1102"	"Star Trek: Insurrection"	117789913	NA	7e+07	"PG"	"Adventure"	NA	1998	"1"
"1103"	"A Nightmare on Elm Street"	117729621	12052379	3.5e+07	"R"	"Horror"	"94"	2010	"0"
"1104"	"The Client"	117612663	NA	4.5e+07	"PG-13"	"Drama"	NA	1994	"0"
"1105"	"Blue Streak"	117448157	NA	3.6e+07	"PG-13"	"Action"	NA	1999	"0"
"1106"	"Dennis the Menace"	117270765	NA	0	"PG"	"Comedy"	NA	1993	"0"
"1107"	"The Forgotten"	117211892	NA	5e+07	"PG-13"	"Thriller/Suspense"	"91"	2004	"0"
"1108"	"Lost in Translation"	117085297	NA	4e+06	"R"	"Drama"	"102"	2003	"0"
"1109"	"Snow Dogs"	116898028	NA	3.2e+07	"PG"	"Comedy"	NA	2002	"0"
"1110"	"Tian jiang xiong shi"	116864070	NA	6.5e+07	"R"	"Action"	"126"	2015	"0"
"1111"	"Water for Elephants"	116809717	17218627	3.8e+07	"13"	"Drama"	"120"	2010	"0"
"1112"	"The Siege"	116623995	NA	7e+07	"R"	"Action"	"120"	1998	"0"
"1113"	"The Notebook"	116117340	NA	3e+07	"PG13"	"Drama"	NA	2004	"0"
"1114"	"Pitch Perfect"	116044347	85487523	1.7e+07	"PG13"	"Comedy"	"112"	2012	"0"
"1115"	"City Slickers"	116014390	NA	0	"13"	"Comedy"	"112"	1991	"0"
"1116"	"Diamonds Are Forever"	1.16e+08	NA	7200000	NA	"Action"	NA	1971	"1"
"1117"	"Si Ren Ding Zhi"	115889225	NA	0	"Not Rated"	"Comedy"	"118"	2013	"0"
"1118"	"Hope Springs"	115849781	13054805	3e+07	"13"	"Romantic Comedy"	"100"	2011	"0"
"1119"	"Coyote Ugly"	115786269	NA	4.5e+07	"PG13"	"Drama"	"101"	2000	"0"
"1120"	"The Iron Lady"	115592104	9773710	1.4e+07	"PG-13"	"Drama"	"-95"	2011	"0"
"1121"	"Sliver"	115524838	NA	0	"R"	"Thriller/Suspense"	NA	1993	"0"
"1122"	"Closer"	115476509	NA	3.5e+07	"R"	"Drama"	"104"	2004	"0"
"1123"	"Bride Wars"	115150424	32129156	3e+07	"PG"	"Comedy"	NA	2009	"0"
"1124"	"Warm Bodies"	115121608	9220838	3e+07	"PG-13"	"Romantic Comedy"	"97"	2012	"0"
"1125"	"Romancing the Stone"	115078260	NA	0	"PG"	"Adventure"	"106"	1984	"0"
"1126"	"Finding Neverland"	115036108	NA	2.5e+07	"PG"	"Drama"	NA	2004	"0"
"1127"	"Cats & Dogs: The Revenge of Kitty Galore"	114979922	11506640	8.5e+07	"PG"	"Comedy"	"82"	2010	"1"
"1128"	"Saving Mr. Banks"	114962525	16213719	3.5e+07	"13"	"Drama"	"125"	2013	"0"
"1129"	"Lethal Weapon"	114932279	NA	1.5e+07	NA	"Action"	NA	1987	"0"
"1130"	"The Lake House"	114830111	39933825	4e+07	"PG"	"Drama"	"99"	2006	"0"
"1131"	"The Corpse Bride"	114770654	NA	3e+07	"PG"	"Adventure"	"76"	2005	"0"
"1132"	"Get Shorty"	114752669	NA	30250000	"R"	"Comedy"	NA	1995	"0"
"1133"	"We Were Soldiers"	114658262	NA	7e+07	"R"	"Drama"	"139"	2002	"0"
"1134"	"Freddy vs. Jason"	114444496	NA	2.5e+07	"R"	"Horror"	NA	2003	"0"
"1135"	"Changeling"	113805580	13798650	5.5e+07	"R"	"Thriller/Suspense"	"142"	2008	"0"
"1136"	"Insomnia"	113622499	NA	4.6e+07	"R"	"Thriller/Suspense"	"118"	2002	"0"
"1137"	"The Score"	113542091	NA	6.8e+07	"R"	"Thriller/Suspense"	"124"	2001	"0"
"1138"	"Judge Dredd"	113487912	NA	8.5e+07	"R"	"Action"	NA	1995	"0"
"1139"	"Underworld: Evolution"	113417762	61775644	4.5e+07	"R"	"Action"	NA	2006	"1"
"1140"	"Prisoners"	113402302	11112360	4.6e+07	"R"	"Thriller/Suspense"	"153"	2013	"0"
"1141"	"Arthur et les Minimoys"	113325743	13207376	8e+07	"PG"	"Adventure"	NA	2006	"0"
"1142"	"Species"	113300401	NA	3.5e+07	"R"	"Action"	NA	1995	"0"
"1143"	"The Reader"	113019290	13136645	32500000	"R"	"Drama"	"122"	2008	"0"
"1144"	"Striptease"	112958418	NA	5e+07	"R"	"Comedy"	NA	1996	"0"
"1145"	"Last Vegas"	112914167	9331859	2.8e+07	"PG-13"	"Comedy"	"104"	2013	"0"
"1146"	"Final Destination 3"	112798051	18695596	2.5e+07	"R"	"Horror"	NA	2006	"1"
"1147"	"The Tooth Fairy"	112610386	22311926	4.8e+07	"PG"	"Comedy"	"101"	2010	"0"
"1148"	"Where Are We Going Dad?"	112370000	NA	0	NA	"Reality"	"0"	2014	"0"
"1149"	"Rambo"	112214531	40592924	47500000	"R"	"Action"	NA	3036	"1"
"1150"	"Final Destination"	112036870	NA	2.3e+07	"R"	"Horror"	NA	2000	"0"
"1151"	"Frankenstein"	112006296	NA	4.5e+07	"R"	"Horror"	"123"	1994	"0"
"1152"	"The Pianist"	111854182	NA	3.5e+07	"R"	"Drama"	NA	2002	"0"
"1153"	"Doctor Zhivago"	111721000	NA	1.1e+07	"PG13"	"Drama"	"197"	1965	"0"
"1154"	"You Only Live Twice"	111600000	NA	9500000	NA	"Action"	NA	1967	"1"
"1155"	"The Purge: Anarchy"	111533636	6932217	9e+06	"R"	"Thriller/Suspense"	"103"	2014	"1"
"1156"	"White Chicks"	111448997	NA	2e+07	"PG-13"	"Comedy"	NA	2004	"0"
"1157"	"Moneyball"	111300835	24403222	5e+07	"13"	"Drama"	"133"	2010	"0"
"1158"	"Step Up"	110989157	51838222	1.2e+07	"13"	"Drama"	"103"	2006	"0"
"1159"	"The Karate Kid, Part II"	110722495	NA	0	"PG"	"Action"	"113"	1986	"1"
"1160"	"Seventh Son"	110623265	4096095	9.5e+07	"PG13"	"Adventure"	"102"	2014	"0"
"1161"	"L.A. Confidential"	110604977	NA	3.5e+07	"R"	"Drama"	"137"	1997	"0"
"1162"	"The Net"	110520117	NA	2.2e+07	"PG13"	"Thriller/Suspense"	NA	1995	"0"
"1163"	"Lang Tu Teng"	110460000	NA	0	"PG13"	"Adventure"	"121"	2015	"0"
"1164"	"Free Birds"	110387072	13156114	5.5e+07	"PG"	"Comedy"	"91"	2013	"0"
"1165"	"Casino"	110349860	NA	5.2e+07	"R"	"Drama"	"-29"	1995	"0"
"1166"	"Peter Pan: Return to Neverland"	109855792	NA	2e+07	"General"	"Adventure"	"2258"	2002	"1"
"1167"	"The Dukes of Hazzard"	109848461	NA	5.3e+07	"PG13"	"Comedy"	"105"	2005	"0"
"1168"	"Sideways"	109793192	NA	1.7e+07	"R"	"Drama"	NA	2004	"0"
"1169"	"Hoodwinked"	109678446	31482113	17500000	"PG"	"Comedy"	NA	2005	"0"
"1170"	"Abraham Lincoln: Vampire Hunter"	109471676	9239049	67500000	"R"	"Horror"	"105"	2011	"0"
"1171"	"Män som hatar kvinnor"	109421911	5642300	1.3e+07	"R"	"Thriller/Suspense"	NA	2008	"0"
"1172"	"Fool's Gold"	109362966	21482349	72500000	"PG-13"	"Adventure"	NA	2008	"0"
"1173"	"The Boxtrolls"	109285033	8143848	6e+07	"PG"	"Adventure"	"96"	2014	"0"
"1174"	"Billy Elliot"	109280263	NA	5e+06	"13"	"Drama"	NA	2000	"0"
"1175"	"Earth"	109011576	18932164	1.5e+07	"General"	"Documentary"	"99"	2009	"0"
"1176"	"Planet 51"	108996113	17229957	6e+07	"PG"	"Adventure"	NA	2009	"0"
"1177"	"One Flew Over the Cuckoo's Nest"	108981275	NA	4400000	"R"	"Drama"	"133"	1975	"0"
"1178"	"The Amityville Horror"	108800304	NA	18500000	"R"	"Horror"	"89"	2005	"0"
"1179"	"Pompeii"	108469033	3954773	8e+07	"PG-13"	"Drama"	"102"	2012	"0"
"1180"	"Body of Lies"	108394666	23033447	67500000	"R"	"Thriller/Suspense"	"128"	2008	"0"
"1181"	"Junior"	108387600	NA	0	"13"	"Comedy"	NA	1994	"0"
"1182"	"Confessions of a Shopaholic"	108027701	19444754	0	"PG"	"Romantic Comedy"	"102"	2009	"0"
"1183"	"The American President"	107809496	NA	6.2e+07	"PG13"	"Romantic Comedy"	"2791"	1995	"0"
"1184"	"The Texas Chainsaw Massacre"	107785686	NA	9e+06	"R"	"Horror"	NA	2003	"0"
"1185"	"Three Kings"	107752036	NA	4.8e+07	"R"	"Action"	"114"	1999	"0"
"1186"	"Paul Blart: Mall Cop 2"	107597242	7584476	3.8e+07	"PG"	"Comedy"	"1920"	2015	"1"
"1187"	"ParaNorman"	107593122	15904832	6e+07	"PG"	"Comedy"	"96"	2011	"0"
"1188"	"The Santa Clause 3: The Escape Clause"	107500122	77158306	0	"g"	"Comedy"	NA	2006	"1"
"1189"	"Hidalgo"	107336658	NA	7.8e+07	"13"	"Western"	NA	2004	"0"
"1190"	"Transporter 3"	107235592	21351444	0	"13"	"Action"	NA	2008	"1"
"1191"	"The Chronicles of Riddick"	107212751	NA	1.2e+08	"PG-13"	"Adventure"	NA	2004	"1"
"1192"	"Shaft"	107190108	NA	53012938	"R"	"Action"	"100"	2000	"0"
"1193"	"About Schmidt"	107054484	NA	3e+07	"R"	"Drama"	NA	2002	"0"
"1194"	"The Breakup Guru"	106798959	NA	0	"Not Rated"	"Action"	"114"	2014	"0"
"1195"	"Ace Ventura: Pet Detective"	106602138	NA	1.2e+07	"13"	"Comedy"	NA	1994	"0"
"1196"	"Made of Honor"	106548738	20168462	4e+07	"13"	"Romantic Comedy"	NA	2008	"0"
"1197"	"Spirit: Stallion of the Cimarron"	106515310	NA	8e+07	"General"	"Adventure"	"84"	2002	"0"
"1198"	"Get Hard"	106511453	14867568	4e+07	"R"	"Comedy"	"99"	2015	"0"
"1199"	"Jiu ceng yao ta"	106380000	NA	0	NA	"Action"	"0"	2015	"0"
"1200"	"Mr. Holland's Opus"	106165254	NA	0	"PG"	"Drama"	NA	1995	"0"
"1201"	"Mission to Mars"	1.06e+08	NA	9e+07	"PG"	"Adventure"	NA	2000	"0"
"1202"	"Horrible Bosses 2"	105945357	4842426	4e+07	"R"	"Comedy"	"108"	2014	"1"
"1203"	"Life as We Know It"	105887837	22119327	3.8e+07	"13"	"Romantic Comedy"	"113"	2010	"0"
"1204"	"The Brothers Grimm"	105299638	NA	8e+07	"PG-13"	"Adventure"	"120"	2005	"0"
"1205"	"Hereafter"	105246941	7652292	5e+07	"PG-13"	"Thriller/Suspense"	"129"	3994	"0"
"1206"	"Terms of Endearment"	105237012	NA	0	"PG"	"Drama"	"131"	1983	"0"
"1207"	"Along Came a Spider"	105159085	NA	2.8e+07	"R"	"Thriller/Suspense"	"-12"	2001	"0"
"1208"	"Porky's"	105124546	NA	4e+06	"R"	"Comedy"	"98"	1982	"0"
"1209"	"Race to Witch Mountain"	105103783	36686028	5e+07	"PG"	"Adventure"	NA	2009	"0"
"1210"	"Cinderella Man"	105021488	NA	8.8e+07	"13"	"Drama"	"144"	2005	"0"
"1211"	"Chappie"	105002056	6245017	4.9e+07	"R"	"Action"	"120"	2015	"0"
"1212"	"Made In America"	104942695	NA	0	"PG-13"	"Comedy"	"110"	1993	"0"
"1213"	"Forgetting Sarah Marshall"	104932954	39081910	3e+07	"R"	"Comedy"	"112"	2008	"0"
"1214"	"The Campaign"	104907746	17214034	9.5e+07	"R"	"Comedy"	"85"	2011	"0"
"1215"	"Training Day"	104505362	NA	4.5e+07	"R"	"Drama"	"122"	2001	"0"
"1216"	"Vicky Cristina Barcelona"	104504817	10424534	1.6e+07	"13"	"Comedy"	"97"	2008	"0"
"1217"	"Don't Say a Word"	104488383	NA	5e+07	"R"	"Thriller/Suspense"	NA	2001	"0"
"1218"	"The Tuxedo"	104429625	NA	6e+07	"PG13"	"Action"	NA	2002	"0"
"1219"	"The Prestige"	104407366	46041455	4e+07	"PG-13"	"Thriller/Suspense"	"130"	2006	"0"
"1220"	"The Graduate"	104397102	NA	0	"PG"	"Comedy"	"105"	1967	"0"
"1221"	"Dragonheart"	104317350	NA	5.7e+07	"PG13"	"Adventure"	NA	1996	"0"
"1222"	"Under Siege 2: Dark Territory"	104302097	NA	6e+07	"R"	"Action"	NA	1995	"1"
"1223"	"Sanctum"	104283753	3238179	3e+07	"R"	"Adventure"	"109"	2010	"0"
"1224"	"Every Which Way but Loose"	104268727	NA	0	"PG"	"Comedy"	"114"	1978	"0"
"1225"	"Eyes Wide Shut"	104213915	NA	6.5e+07	"R"	"Drama"	"159"	1999	"0"
"1226"	"Gangster Squad"	104100903	9432552	6e+07	"R"	"Drama"	"110"	2011	"0"
"1227"	"Snake Eyes"	103885389	NA	7.3e+07	"R"	"Thriller/Suspense"	"99"	1998	"0"
"1228"	"Saw"	103880027	NA	1200000	"R"	"Horror"	NA	2004	"0"
"1229"	"Escape Plan"	103735965	9222794	7e+07	"R"	"Thriller/Suspense"	"115"	2012	"0"
"1230"	"Ouija"	103474009	5869576	5e+06	"13"	"Horror"	"89"	2014	"0"
"1231"	"Dawn of the Dead"	103452875	NA	2.8e+07	"R"	"Horror"	NA	2004	"0"
"1232"	"Rugrats in Paris"	103284813	NA	3e+07	"G"	"Adventure"	NA	2000	"0"
"1233"	"Birdman or (The Unexpected Virtue of Ignorance)"	103240598	2926500	1.8e+07	"R"	"Black Comedy"	"119"	2014	"0"
