"name"	"boxoffice.total"	"boxoffice.domestic"	"boxoffice.international"	"dvd.domestic"	"budget"	"rating"	"genre"	"creative.type"	"time"	"year"	"production.method"	"sequel"	"boxoffice.domestic.inflationadj"	"budget.millions"	"boxoffice.total.millions"	"revenue.d.budget"
"574"	"Pulp Fiction"	212886108	107886108	105000000	NA	8000000	"R"	"Drama"	"Contemporary Fiction"	155	1994	"Live Action"	0	215688346	8	212.886108	26.6107635
"575"	"Non-Stop"	212742160	91742160	121000000	11100004	50000000	"PG-13"	"Action"	"Contemporary Fiction"	110	2013	"Live Action"	0	93987985	50	212.74216	4.2548432
"576"	"District 9"	212453431	115646235	96807196	35183576	30000000	"R"	"Thriller/Suspense"	"Science Fiction"	111	2009	"Animation/Live Action"	0	129061198	30	212.453431	7.08178103333333
"577"	"Horrible Bosses"	212417601	117538559	94879042	23932391	35000000	"R"	"Comedy"	"Contemporary Fiction"	98	2010	"Live Action"	0	124060240	35	212.417601	6.06907431428571
"578"	"Ace Ventura: When Nature Calls"	212384285	108344348	104039937	NA	30000000	"PG-13"	"Comedy"	"Contemporary Fiction"	90	1995	"Live Action"	1	208347932	30	212.384285	7.07947616666667
"579"	"Public Enemies"	212282709	97104620	115178089	37207785	102500000	"R"	"Drama"	"Dramatization"	140	2009	"Live Action"	0	108368759	102.5	212.282709	2.0710508195122
"580"	"Disclosure"	212161593	82976682	129184911	NA	0	"R"	"Drama"	"Contemporary Fiction"	NA	1994	"Live Action"	0	166238487	0	212.161593	Inf
"581"	"End of Days"	212026975	66889043	145137932	NA	100000000	"R"	"Action"	"Fantasy"	NA	1999	"Live Action"	0	109816024	100	212.026975	2.12026975
"582"	"Total Recall"	211856088	58877969	152978119	13523482	125000000	"PG-13"	"Action"	"Science Fiction"	117	2012	"Live Action"	0	61910622	125	211.856088	1.694848704
"583"	"Fury"	211755593	85755593	126000000	13491928	80000000	"R"	"Drama"	"Historical Fiction"	134	2014	"Live Action"	0	87848825	80	211.755593	2.6469449125
"584"	"Due Date"	211739043	100539043	111200000	29385281	65000000	"R"	"Comedy"	"Contemporary Fiction"	95	2010	"Live Action"	0	106648481	65	211.739043	3.25752373846154
"585"	"Entrapment"	211700000	87707396	123992604	NA	66000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	NA	1999	"Live Action"	0	144505079	66	211.7	3.20757575757576
"586"	"Immortals"	211562435	83504017	128058418	19716383	75000000	"R"	"Action"	"Fantasy"	110	2011	"Live Action"	0	88133907	75	211.562435	2.82083246666667
"587"	"Bram Stoker's Dracula"	211481986	78142084	133339902	NA	40000000	"R"	"Horror"	"Fantasy"	123	1992	"Live Action"	0	157602229	40	211.481986	5.28704965
"588"	"Moonraker"	210300000	70300000	140000000	NA	31000000	NA	"Action"	"Contemporary Fiction"	NA	1979	"Live Action"	1	70300000	31	210.3	6.78387096774194
"589"	"The Expendables 3"	209461378	39322544	170138834	15092650	100000000	"PG-13"	"Action"	"Contemporary Fiction"	103	2014	"Live Action"	1	40285145	100	209.461378	2.09461378
"590"	"Braveheart"	209045647	75545647	133500000	NA	72000000	"R"	"Drama"	"Dramatization"	NA	1995	"Live Action"	0	145100420	72	209.045647	2.90341176388889
"591"	"Jaws 2"	208900376	102922376	105978000	NA	20000000	"PG"	"Horror"	"Contemporary Fiction"	116	1978	"Live Action"	1	102922376	20	208.900376	10.4450188
"592"	"Safe House"	208542162	126181630	82360532	25075408	85000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	114	2011	"Live Action"	0	132680930	85	208.542162	2.4534372
"593"	"The Aviator"	208370892	102608827	105762065	NA	110000000	"PG-13"	"Drama"	"Dramatization"	170	2004	"Live Action"	0	135310198	110	208.370892	1.89428083636364
"594"	"Traffic"	208300000	124107476	84192524	NA	48000000	"R"	"Drama"	"Contemporary Fiction"	148	2000	"Live Action"	0	183557490	48	208.3	4.33958333333333
"595"	"Garfield"	208094550	75367693	132726857	NA	50000000	"PG"	"Comedy"	"Contemporary Fiction"	NA	2004	"Animation/Live Action"	0	101582547	50	208.09455	4.161891
"596"	"Xi you xiang mo pian"	207927982	18058	207909924	201616	0	"PG-13"	"Adventure"	"Fantasy"	110	2013	"Live Action"	0	18498	0	207.927982	Inf
"597"	"The Others"	207765056	96522687	111242369	NA	17000000	"PG-13"	"Horror"	"Historical Fiction"	104	2001	"Live Action"	0	142662432	17	207.765056	12.2214738823529
"598"	"Clear and Present Danger"	207320283	121832939	85487344	NA	62000000	"PG-13"	"Action"	"Contemporary Fiction"	144	1994	"Live Action"	0	249927179	62	207.320283	3.34387553225806
"599"	"S.W.A.T."	207154748	116877597	90277151	NA	70000000	"PG-13"	"Action"	"Contemporary Fiction"	111	2003	"Live Action"	0	162233082	70	207.154748	2.95935354285714
"600"	"Sleepy Hollow"	207068340	101068340	106000000	NA	70000000	"R"	"Horror"	"Historical Fiction"	105	1999	"Live Action"	0	165744255	70	207.06834	2.95811914285714
"601"	"Eat Pray Love"	206598789	80574010	126024779	39179016	60000000	"PG-13"	"Drama"	"Contemporary Fiction"	134	2010	"Live Action"	0	85475846	60	206.598789	3.44331315
"602"	"The Fast and the Furious"	206512310	144512310	62000000	NA	38000000	"PG-13"	"Action"	"Contemporary Fiction"	107	2001	"Live Action"	0	213704598	38	206.51231	5.43453447368421
"603"	"Red Dragon"	206455420	92955420	113500000	NA	78000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	124	2002	"Live Action"	0	133876786	78	206.45542	2.64686435897436
"604"	"The Break-Up"	205727307	118703275	87024032	52854244	52000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	106	2006	"Live Action"	0	151686472	52	205.727307	3.95629436538462
"605"	"White House Down"	205440387	73103784	132336603	15512479	150000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	131	2013	"Live Action"	0	75261826	150	205.440387	1.36960258
"606"	"Ren zai jiong tu zhi tai jiong"	205400000	0	205400000	6339	0	NA	"Comedy"	"Contemporary Fiction"	0	2012	"Live Action"	0	0	0	205.4	Inf
"607"	"JFK"	205400000	70405498	134994502	NA	40000000	"R"	"Drama"	"Dramatization"	189	1991	"Live Action"	0	116366336	40	205.4	5.135
"608"	"Tomorrowland"	205336322	93436322	111900000	NA	170000000	"PG"	"Adventure"	"Science Fiction"	129	2014	"Live Action"	0	93436322	170	205.336322	1.20786071764706
"609"	"Gake no ue no Ponyo"	205312666	15090399	190222267	26631108	34000000	"G"	"Adventure"	"Kids Fiction"	101	2009	"Hand Animation"	0	16840884	34	205.312666	6.03860782352941
"610"	"The Ugly Truth"	205298907	88915214	116383693	31934968	38000000	"R"	"Romantic Comedy"	"Contemporary Fiction"	95	2009	"Live Action"	0	99229380	38	205.298907	5.40260281578947
"611"	"The Holiday"	205135173	63224849	141910324	73614272	85000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	135	2006	"Live Action"	0	80113781	85	205.135173	2.41335497647059
"612"	"Yogi Bear"	204774690	100246011	104528679	17650406	80000000	"PG"	"Adventure"	"Kids Fiction"	80	2010	"Animation/Live Action"	0	106160058	80	204.77469	2.559683625
"613"	"Valkyrie"	203902107	83077762	120824345	32492912	90000000	"PG-13"	"Thriller/Suspense"	"Dramatization"	120	2008	"Live Action"	0	95769130	90	203.902107	2.26557896666667
"614"	"King Arthur"	203877963	51877963	152000000	NA	90000000	"PG-13"	"Adventure"	"Historical Fiction"	126	2004	"Live Action"	0	69922469	90	203.877963	2.2653107
"615"	"Alien"	203630630	80930630	122700000	NA	9000000	"R"	"Horror"	"Science Fiction"	117	1979	"Live Action"	0	200582991	9	203.63063	22.6256255555556
"616"	"Into the Woods"	203502372	128002372	75500000	14651516	50000000	"PG"	"Musical"	"Fantasy"	124	2014	"Animation/Live Action"	0	130226880	50	203.502372	4.07004744
"617"	"Fun With Dick And Jane"	203018919	110550000	92468919	29907987	140000000	"PG-13"	"Comedy"	"Contemporary Fiction"	90	2005	"Live Action"	0	143070888	140	203.018919	1.45013513571429
"618"	"You Don't Mess With the Zohan"	202910991	100018837	102892154	35405074	90000000	"PG-13"	"Comedy"	"Contemporary Fiction"	113	2008	"Live Action"	0	116595774	90	202.910991	2.25456656666667
"619"	"Hairspray"	202871849	118871849	84000000	104204647	75000000	"PG"	"Musical"	"Historical Fiction"	115	2007	"Live Action"	0	144615897	75	202.871849	2.70495798666667
"620"	"21 Jump Street"	202812429	138447667	64364762	39004428	42000000	"R"	"Comedy"	"Contemporary Fiction"	109	2011	"Live Action"	0	145578757	42	202.812429	4.82886735714286
"621"	"Vanilla Sky"	202726605	100614858	102111747	NA	70000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	130	2001	"Live Action"	0	147673551	70	202.726605	2.89609435714286
"622"	"Patch Adams"	202173000	135014968	67158032	NA	50000000	"PG-13"	"Comedy"	"Contemporary Fiction"	115	1998	"Live Action"	0	231429261	50	202.173	4.04346
"623"	"Paranormal Activity 3"	202053386	104028807	98024579	NA	5000000	"R"	"Horror"	"Fantasy"	81	2011	"Live Action"	1	109800749	5	202.053386	40.4106772
"624"	"Flashdance"	201463574	90463574	111000000	NA	7000000	"R"	"Drama"	"Contemporary Fiction"	95	1983	"Live Action"	0	240374640	7	201.463574	28.7805105714286
"625"	"Percy Jackson: Sea of Monsters"	200859554	68559554	132300000	25746949	90000000	"PG"	"Adventure"	"Fantasy"	105	2013	"Live Action"	1	70583239	90	200.859554	2.23177282222222
"626"	"Cats & Dogs"	200700000	93375151	107324849	NA	60000000	"PG"	"Comedy"	"Contemporary Fiction"	83	2001	"Live Action"	0	138083045	60	200.7	3.345
"627"	"Philadelphia"	200512063	76512063	124000000	NA	26000000	"PG-13"	"Drama"	"Contemporary Fiction"	119	1993	"Live Action"	0	156329813	26	200.512063	7.71200242307692
"628"	"Rocky 2"	200182160	85182160	115000000	NA	0	"PG"	"Action"	"Contemporary Fiction"	NA	1979	"Live Action"	1	85182160	0	200.18216	Inf
"629"	"Kindergarten Cop"	199388425	88846113	110542312	NA	26000000	"PG-13"	"Comedy"	"Contemporary Fiction"	NA	1990	"Live Action"	0	176484003	26	199.388425	7.66878557692308
"630"	"Straight Outta Compton"	199129270	161029270	38100000	NA	28000000	"R"	"Drama"	"Dramatization"	146	2015	"Live Action"	0	161029270	28	199.12927	7.11175964285714
"631"	"Two Weeks Notice"	199043309	93354918	105688391	NA	60000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	101	2002	"Live Action"	0	132468625	60	199.043309	3.31738848333333
"632"	"City of Angels"	198745923	78745923	120000000	NA	55000000	"PG-13"	"Drama"	"Fantasy"	120	1998	"Live Action"	0	140533765	55	198.745923	3.61356223636364
"633"	"The Pacifier"	198006880	113006880	85000000	NA	56000000	"PG"	"Comedy"	"Contemporary Fiction"	95	2005	"Live Action"	0	147561242	56	198.00688	3.53583714285714
"634"	"Spy Kids"	197692062	112692062	85000000	NA	35000000	"PG"	"Adventure"	"Kids Fiction"	89	2001	"Live Action"	0	166648859	35	197.692062	5.64834462857143
"635"	"Jack the Giant Slayer"	197687603	65187603	132500000	12627431	195000000	"PG-13"	"Adventure"	"Fantasy"	113	2011	"Animation/Live Action"	0	67111957	195	197.687603	1.01378257948718
"636"	"The Vow"	197618160	125014030	72604130	29414505	30000000	"PG-13"	"Drama"	"Historical Fiction"	104	2011	"Live Action"	0	131453194	30	197.61816	6.587272
"637"	"Wallace & Gromit: The Curse of the Were-Rabbit"	197593152	56068547	141524605	35106285	30000000	"G"	"Adventure"	"Kids Fiction"	85	2005	"Stop-Motion Animation"	0	73212750	30	197.593152	6.5864384
"638"	"Red"	196439693	90380162	106059531	43432604	60000000	"PG-13"	"Action"	"Contemporary Fiction"	110	2010	"Live Action"	0	95873889	60	196.439693	3.27399488333333
"639"	"Stargate"	196346004	71346004	125000000	NA	55000000	"PG-13"	"Action"	"Science Fiction"	121	1994	"Live Action"	0	146020208	55	196.346004	3.56992734545455
"640"	"50 First Dates"	196324496	120776832	75547664	NA	75000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	96	2004	"Live Action"	0	162786163	75	196.324496	2.61765994666667
"641"	"Panic Room"	196308367	95308367	101000000	NA	48000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2002	"Live Action"	0	137303104	48	196.308367	4.08975764583333
"642"	"Anger Management"	195660942	135560942	60100000	NA	56000000	"PG-13"	"Comedy"	"Contemporary Fiction"	106	2003	"Live Action"	0	188166681	56	195.660942	3.49394539285714
"643"	"For Your Eyes Only"	195300000	54800000	140500000	NA	28000000	NA	"Action"	"Contemporary Fiction"	NA	1981	"Live Action"	1	107726118	28	195.3	6.975
"644"	"The Other Woman"	195111193	83911193	111200000	11909463	40000000	"PG-13"	"Comedy"	"Contemporary Fiction"	109	2014	"Live Action"	0	85965315	40	195.111193	4.877779825
"645"	"Beowulf"	194995215	82195215	112800000	38758408	150000000	"PG-13"	"Adventure"	"Fantasy"	NA	2007	"Digital Animation"	0	100045396	150	194.995215	1.2999681
"646"	"Paranormal Activity"	194183034	107918810	86264224	17205156	450000	"R"	"Horror"	"Fantasy"	96	2009	"Live Action"	0	120433846	0.45	194.183034	431.517853333333
"647"	"Need for Speed"	194169619	43568507	150601112	6837518	66000000	"PG-13"	"Action"	"Contemporary Fiction"	130	2014	"Live Action"	0	44635051	66	194.169619	2.94196392424242
"648"	"Gnomeo and Juliet"	193737977	99967670	93770307	25124473	36000000	"G"	"Comedy"	"Fantasy"	84	2010	"Digital Animation"	0	105514421	36	193.737977	5.38161047222222
"649"	"The Sum of All Fears"	193500000	118471320	75028680	NA	68000000	"PG-13"	"Action"	"Contemporary Fiction"	124	2002	"Live Action"	0	170672109	68	193.5	2.84558823529412
"650"	"The Hunt for Red October"	193275519	113485385	79790134	NA	30000000	"PG"	"Thriller/Suspense"	"Historical Fiction"	134	1990	"Live Action"	0	225088308	30	193.275519	6.4425173
"651"	"The Equalizer"	192165283	101530738	90634545	19999614	55000000	"R"	"Action"	"Contemporary Fiction"	131	2011	"Live Action"	0	104013864	55	192.165283	3.49391423636364
"652"	"The Addams Family"	191502246	113502246	78000000	NA	30000000	"PG-13"	"Comedy"	"Fantasy"	99	1991	"Live Action"	0	202706527	30	191.502246	6.3834082
"653"	"Teenage Mutant Ninja Turtles"	191369375	124635290	66734085	NA	13500000	"PG"	"Adventure"	"Fantasy"	93	1990	"Live Action"	0	247203171	13.5	191.369375	14.1755092592593
"654"	"Hollow Man"	191200000	73209340	117990660	NA	90000000	"R"	"Horror"	"Science Fiction"	NA	2000	"Live Action"	0	113685006	90	191.2	2.12444444444444
"655"	"Open Season"	191152567	84325668	106826899	97301778	85000000	"PG"	"Adventure"	"Kids Fiction"	86	2006	"Digital Animation"	0	107756619	85	191.152567	2.24885372941176
"656"	"Tropic Thunder"	191091250	110461307	80629943	53379497	90000000	"R"	"Comedy"	"Contemporary Fiction"	106	2008	"Live Action"	0	128831919	90	191.09125	2.12323611111111
"657"	"The Longest Yard"	190320568	158119460	32201108	NA	82000000	"PG-13"	"Comedy"	"Contemporary Fiction"	113	2005	"Live Action"	0	206462221	82	190.320568	2.32098253658537
"658"	"The Waterboy"	190187252	161487252	28700000	NA	23000000	"PG-13"	"Comedy"	"Contemporary Fiction"	88	1998	"Live Action"	0	286629252	23	190.187252	8.26901095652174
"659"	"The Living Daylights"	190111813	50096813	140015000	NA	40000000	NA	"Action"	"Contemporary Fiction"	NA	1987	"Live Action"	1	107240491	40	190.111813	4.752795325
"660"	"Xia Luo Te Fan Nao"	190109190	904846	189204344	NA	0	"Not Rated"	"Comedy"	"Contemporary Fiction"	0	2015	"Live Action"	0	904846	0	190.10919	Inf
"661"	"Cheaper by the Dozen"	189714544	138614544	51100000	NA	40000000	"PG"	"Comedy"	"Contemporary Fiction"	98	2003	"Live Action"	0	190273109	40	189.714544	4.7428636
"662"	"The Santa Clause"	189666650	144700007	44966643	NA	22000000	"PG"	"Comedy"	"Kids Fiction"	97	1994	"Live Action"	0	295972533	22	189.66665	8.62121136363636
"663"	"Mr. Poppers's Penguins"	189624452	68224452	121400000	24612317	55000000	"PG"	"Adventure"	"Kids Fiction"	93	2010	"Live Action"	0	72009914	55	189.624452	3.44771730909091
"664"	"The X Files: Fight the Future"	189104508	83826398	105278110	NA	66000000	"PG-13"	"Action"	"Science Fiction"	NA	1998	"Live Action"	0	149600626	66	189.104508	2.86521981818182
"665"	"Xin Hua Lu Fang"	188744961	774961	187970000	NA	0	"Not Rated"	"Comedy"	"Contemporary Fiction"	116	2014	"Live Action"	0	793928	0	188.744961	Inf
"666"	"Rambo III"	188715611	53715611	135000000	NA	58000000	NA	"Action"	"Contemporary Fiction"	NA	1988	"Live Action"	1	89694820	58	188.715611	3.25371743103448
"667"	"Hop"	188657593	108085305	80572288	43508285	63000000	"PG"	"Comedy"	"Kids Fiction"	95	2011	"Animation/Live Action"	0	114082464	63	188.657593	2.99456496825397
"668"	"The Secret Life of Walter Mitty"	188536838	58236838	130300000	9051020	91000000	"PG"	"Comedy"	"Contemporary Fiction"	114	2012	"Live Action"	0	59891652	91	188.536838	2.07183338461538
"669"	"The Pelican Brief"	187995859	100768056	87227803	NA	45000000	"PG-13"	"Drama"	"Contemporary Fiction"	141	1993	"Live Action"	0	183511606	45	187.995859	4.17768575555556
"670"	"Walk the Line"	187707495	119519402	68188093	159630030	29000000	"PG-13"	"Drama"	"Dramatization"	136	2005	"Live Action"	0	155307894	29	187.707495	6.47267224137931
"671"	"Heat"	187421778	67421778	120000000	NA	0	"R"	"Drama"	"Contemporary Fiction"	170	1995	"Live Action"	0	128786319	0	187.421778	Inf
"672"	"The Final Destination"	187384627	66477700	120906927	11473156	40000000	"R"	"Horror"	"Fantasy"	NA	2009	"Live Action"	1	74189110	40	187.384627	4.684615675
"673"	"The Grudge"	187097624	110175871	76921753	NA	10000000	"PG-13"	"Horror"	"Fantasy"	92	2004	"Live Action"	0	148497912	10	187.097624	18.7097624
"674"	"The Horse Whisperer"	186870763	75370763	111500000	NA	60000000	"PG-13"	"Drama"	"Contemporary Fiction"	169	1998	"Live Action"	0	134510294	60	186.870763	3.11451271666667
"675"	"Knowing"	186450317	79957634	106492683	24784601	50000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	NA	2009	"Live Action"	0	89232721	50	186.450317	3.72900634
"676"	"Atlantis: The Lost Empire"	186049020	84052762	101996258	NA	90000000	"PG"	"Adventure"	"Kids Fiction"	96	2001	"Hand Animation"	0	124297103	90	186.04902	2.06721133333333
"677"	"Paul Blart: Mall Cop"	185904750	146336178	39568572	56966546	26000000	"PG"	"Comedy"	"Contemporary Fiction"	91	2009	"Live Action"	0	163311171	26	185.90475	7.15018269230769
"678"	"I Now Pronounce You Chuck and Larry"	185708462	119725280	65983182	69502546	85000000	"PG-13"	"Comedy"	"Contemporary Fiction"	115	2007	"Live Action"	0	145654154	85	185.708462	2.18480543529412
"679"	"Inside Man"	185677523	88513495	97164028	44869128	50000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	128	2006	"Live Action"	0	113108087	50	185.677523	3.71355046
"680"	"The Spy Who Loved Me"	185400000	46800000	138600000	NA	14000000	NA	"Action"	"Contemporary Fiction"	NA	1977	"Live Action"	1	46800000	14	185.4	13.2428571428571
"681"	"In the Line of Fire"	185113224	100013224	85100000	NA	0	"R"	"Thriller/Suspense"	"Contemporary Fiction"	123	1993	"Live Action"	0	202200652	0	185.113224	Inf
"682"	"Snow White and the Seven Dwarfs"	184925485	184925485	0	NA	1488000	"G"	"Musical"	"Fantasy"	83	1937	"Hand Animation"	0	6729679608	1.488	184.925485	124.277879704301
"683"	"Watchmen"	184068357	107509799	76558558	64621069	138000000	"R"	"Action"	"Super Hero"	161	2009	"Live Action"	0	119980937	138	184.068357	1.33382867391304
"684"	"The Road to Perdition"	183354514	104054514	79300000	NA	80000000	"R"	"Drama"	"Historical Fiction"	116	2002	"Live Action"	0	149902975	80	183.354514	2.291931425
"685"	"Aliens"	183316455	85160248	98156207	NA	17000000	"R"	"Action"	"Science Fiction"	NA	1986	"Live Action"	1	169659163	17	183.316455	10.7833208823529
"686"	"Gangs of New York"	183124621	77730500	105394121	NA	97000000	"R"	"Drama"	"Historical Fiction"	155	2002	"Live Action"	0	109870563	97	183.124621	1.88788269072165
"687"	"Daredevil"	182782518	102543518	80239000	NA	80000000	"PG-13"	"Action"	"Super Hero"	125	2003	"Live Action"	0	142336529	80	182.782518	2.284781475
"688"	"Sweet Home Alabama"	182365114	127214072	55151042	NA	38000000	"PG-13"	"Comedy"	"Contemporary Fiction"	109	2002	"Live Action"	0	183172537	38	182.365114	4.79908194736842
"689"	"Maverick"	182303917	100919952	81383965	NA	0	"PG"	"Western"	"Historical Fiction"	127	1994	"Live Action"	0	207034310	0	182.303917	Inf
"690"	"Cape Fear"	182291969	79091969	103200000	NA	35000000	"R"	"Thriller/Suspense"	"Contemporary Fiction"	128	1991	"Live Action"	0	108278781	35	182.291969	5.20834197142857
"691"	"While You Were Sleeping"	182052361	81052361	101000000	NA	0	"PG"	"Romantic Comedy"	"Contemporary Fiction"	103	1995	"Live Action"	0	155955925	0	182.052361	Inf
"692"	"Octopussy"	182040579	62440579	119600000	NA	27500000	NA	"Action"	"Contemporary Fiction"	NA	1983	"Live Action"	1	165913538	27.5	182.040579	6.61965741818182
"693"	"Jupiter Ascending"	181982519	47482519	134500000	7482323	179000000	"PG-13"	"Action"	"Science Fiction"	127	2014	"Live Action"	0	47482519	179	181.982519	1.01666211731844
"694"	"Poseidon"	181674817	60674817	121000000	27219615	160000000	"PG-13"	"Adventure"	"Contemporary Fiction"	NA	2006	"Live Action"	0	77534080	160	181.674817	1.13546760625
"695"	"The Birdcage"	181639840	123939840	57700000	NA	0	"R"	"Comedy"	"Contemporary Fiction"	118	1996	"Live Action"	0	234700559	0	181.63984	Inf
"696"	"The First Wives Club"	181444419	105444419	76000000	NA	30000000	"PG"	"Comedy"	"Contemporary Fiction"	103	1996	"Live Action"	0	199530848	30	181.444419	6.0481473
"697"	"Jian Bing Man"	181362621	0	181362621	NA	0	"Not Rated"	"Comedy"	"Science Fiction"	0	2015	"Live Action"	0	0	0	181.362621	Inf
"698"	"Scooby-Doo 2: Monsters Unleashed"	181185387	84185387	97000000	NA	25000000	"PG"	"Comedy"	"Kids Fiction"	NA	2004	"Live Action"	1	113467261	25	181.185387	7.24741548
"699"	"He's Just Not That Into You"	181053657	93953653	87100004	30742262	40000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	129	2009	"Live Action"	0	104852279	40	181.053657	4.526341425
"700"	"Déjà Vu"	181038616	64038616	117000000	40599395	80000000	"PG-13"	"Thriller/Suspense"	"Science Fiction"	126	2006	"Live Action"	0	81681516	80	181.038616	2.2629827
"701"	"12 Years a Slave"	181025343	56671993	124353350	16214079	20000000	"R"	"Drama"	"Historical Fiction"	133	2013	"Live Action"	0	58253216	20	181.025343	9.05126715
"702"	"Wayne's World"	180752584	119352584	61400000	NA	20000000	"PG-13"	"Comedy"	"Contemporary Fiction"	95	1992	"Live Action"	0	240718346	20	180.752584	9.0376292
"703"	"The Haunting"	180188905	91188905	89000000	NA	80000000	"PG-13"	"Horror"	"Contemporary Fiction"	114	1999	"Live Action"	0	150246288	80	180.188905	2.2523613125
"704"	"The Dictator"	180148897	59650222	120498675	5517352	65000000	"R"	"Comedy"	"Contemporary Fiction"	83	2011	"Live Action"	0	62722654	65	180.148897	2.77152149230769
"705"	"Hugo"	180047784	73864507	106183277	19200433	180000000	"PG"	"Adventure"	"Fantasy"	126	2011	"Animation/Live Action"	0	77865809	180	180.047784	1.00026546666667
"706"	"Flushed Away"	179357126	64665672	114691454	81743190	149000000	"PG"	"Comedy"	"Kids Fiction"	85	2006	"Digital Animation"	0	82347107	149	179.357126	1.20373910067114
"707"	"The League of Extraordinary Gentlemen"	179265204	66465204	112800000	NA	78000000	"PG-13"	"Adventure"	"Super Hero"	110	2003	"Live Action"	0	92254056	78	179.265204	2.29827184615385
"708"	"Moulin Rouge"	179213196	57386369	121826827	NA	53000000	"PG-13"	"Musical"	"Historical Fiction"	126	2001	"Live Action"	0	84849845	53	179.213196	3.38138105660377
"709"	"How to Lose a Guy in 10 Days"	178890782	105807520	73083262	NA	50000000	"PG-13"	"Romantic Comedy"	"Contemporary Fiction"	116	2003	"Live Action"	0	146867151	50	178.890782	3.57781564
"710"	"Dangerous Minds"	178778149	84778149	94000000	NA	0	"R"	"Drama"	"Contemporary Fiction"	NA	1995	"Live Action"	0	163109329	0	178.778149	Inf
"711"	"Scary Movie 4"	178710620	90710620	88000000	23428916	40000000	"PG-13"	"Comedy"	"Contemporary Fiction"	NA	2006	"Live Action"	1	115915711	40	178.71062	4.4677655
"712"	"Dante's Peak"	178191885	67155742	111036143	NA	115000000	"PG-13"	"Drama"	"Contemporary Fiction"	NA	1997	"Live Action"	0	122460474	115	178.191885	1.54949465217391
"713"	"Patriot Games"	178100000	83287363	94812637	NA	45000000	"R"	"Action"	"Contemporary Fiction"	117	1992	"Live Action"	0	141224382	45	178.1	3.95777777777778
"714"	"Eagle Eye"	178066569	101440743	76625826	40876644	80000000	"PG-13"	"Thriller/Suspense"	"Contemporary Fiction"	117	2008	"Live Action"	0	118251402	80	178.066569	2.2258321125
"715"	"Flubber"	177969824	92969824	85000000	NA	80000000	"PG"	"Comedy"	"Kids Fiction"	94	1997	"Live Action"	0	169149849	80	177.969824	2.2246228
"716"	"Double Jeopardy"	177835231	116735231	61100000	NA	40000000	"R"	"Action"	"Contemporary Fiction"	105	1999	"Live Action"	0	192081222	40	177.835231	4.445880775
"717"	"Jet Li's Hero"	177535958	53652140	123883818	NA	17000000	"PG-13"	"Action"	"Historical Fiction"	NA	2002	"Live Action"	0	72313753	17	177.535958	10.4432916470588
"718"	"Paranormal Activity 2"	177512032	84752907	92759125	15727021	3000000	"R"	"Horror"	"Fantasy"	91	2010	"Live Action"	1	89908481	3	177.512032	59.1706773333333
"719"	"The A-Team"	177241171	77222099	100019072	29796273	110000000	"PG-13"	"Action"	"Contemporary Fiction"	118	2010	"Live Action"	0	81920019	110	177.241171	1.61128337272727
"720"	"The 40 Year-old Virgin"	177138471	109243478	67894993	NA	26000000	"R"	"Comedy"	"Contemporary Fiction"	116	2005	"Live Action"	0	142647098	26	177.138471	6.81301811538462
"721"	"Lee Daniels' The Butler"	177025498	116632095	60393403	24845315	30000000	"PG-13"	"Drama"	"Dramatization"	132	2011	"Live Action"	0	120073392	30	177.025498	5.90084993333333
"722"	"Brokeback Mountain"	177012173	83043761	93968412	44856678	13900000	"R"	"Drama"	"Historical Fiction"	134	2005	"Live Action"	0	106517139	13.9	177.012173	12.734688705036
"723"	"Analyze This"	176823373	106823373	70000000	NA	30000000	"R"	"Comedy"	"Contemporary Fiction"	111	1999	"Live Action"	0	176006227	30	176.823373	5.89411243333333
"724"	"Kill Bill: Volume 1"	176469428	70098138	106371290	NA	55000000	"R"	"Action"	"Contemporary Fiction"	110	2003	"Live Action"	0	97282577	55	176.469428	3.20853505454545
"725"	"The Italian Job"	176262839	106126012	70136827	NA	60000000	"PG-13"	"Adventure"	"Contemporary Fiction"	111	2003	"Live Action"	0	147309238	60	176.262839	2.93771398333333
"726"	"Hot Shots!"	176251753	68251753	108000000	NA	0	"PG-13"	"Comedy"	"Contemporary Fiction"	NA	1991	"Live Action"	0	135692917	0	176.251753	Inf
"727"	"Tootsie"	176188774	176188774	0	NA	15000000	"PG"	"Comedy"	"Contemporary Fiction"	116	1982	"Live Action"	0	475729046	15	176.188774	11.7459182666667
"728"	"Doctor Dolittle 2"	176101721	112950721	63151000	NA	72000000	"PG"	"Comedy"	"Kids Fiction"	87	2001	"Live Action"	1	167031368	72	176.101721	2.44585723611111
